Price,Close,High,Low,Open,Volume
Ticker,ADP,ADP,ADP,ADP,ADP
Date,,,,,
2021-04-12,170.52227783203125,170.92666816095502,169.32711052428743,169.58771823456564,1398000
2021-04-13,172.46328735351562,172.73287631253956,170.33356062976833,170.6121308597429,1979000
2021-04-14,171.7713623046875,173.69441028914193,171.35800441083336,172.0139937626504,1651600
2021-04-15,172.4363555908203,173.7213905456777,171.9780638903156,173.03842991920078,1173400
2021-04-16,173.37991333007812,173.90111508154015,172.3195335703819,173.08336679673596,1612900
2021-04-19,173.2091522216797,173.57759002568358,172.23864015135624,172.54416792019936,1226300
2021-04-20,173.26307678222656,174.3054802162842,172.59810615611755,173.76630224367082,1258000
2021-04-21,174.61099243164062,174.8356476148859,173.4338014653338,173.892093102883,1413500
2021-04-22,175.07830810546875,176.05780157611258,173.63152793680894,174.26954108445653,1360500
2021-04-23,176.0038299560547,177.2798695531451,173.9909148907484,175.23101569732532,1342900
2021-04-26,175.3568572998047,176.6149208987299,174.96146196532396,175.74327136281627,1398900
2021-04-27,176.0308380126953,176.12968685481295,174.18866252515696,175.19512720268193,1589700
2021-04-28,167.70059204101562,172.08586548128554,167.17040911445324,171.8072952558668,3129100
2021-04-29,169.30015563964844,170.07297008709853,166.82894840455245,168.00615318723786,1746200
2021-04-30,168.03311157226562,169.22827890476296,166.11006357161446,167.5927824354933,2316700
2021-05-03,172.0499725341797,172.1488213868177,169.72253386058816,169.9921228870434,1514200
2021-05-04,174.3054962158203,174.6739340738629,170.36055103262592,171.3220682607436,2246700
2021-05-05,174.0269012451172,174.84464943495462,170.108914147636,170.7289646715377,2759100
2021-05-06,175.51864624023438,175.56356631714104,173.30803272411293,175.4916749974763,1317000
2021-05-07,175.13218688964844,176.6418767890517,172.4722635963492,176.6418767890517,1968300
2021-05-10,174.69189453125,176.73176777919562,174.56608815584482,176.1207121591895,2561200
2021-05-11,174.75479125976562,176.6778392583596,173.44279883461954,175.15916788476676,1637000
2021-05-12,170.2347412109375,173.9460498224487,169.80340702910206,173.9460498224487,2235700
2021-05-13,173.00245666503906,174.2695013992497,170.3694909498953,170.46833977289106,1440000
2021-05-14,174.90756225585938,175.8331406373753,173.33497576332144,174.64696824174558,1047200
2021-05-17,174.84463500976562,175.38379919903664,172.8676585135144,174.3863296802421,1353400
2021-05-18,173.02044677734375,176.51608122125043,172.8766778670554,174.92553224121912,1509000
2021-05-19,171.49282836914062,172.52625074638203,168.30272107639513,171.02555532163132,1668200
2021-05-20,174.45826721191406,175.374864401992,171.47485284747037,171.71747062659642,1312100
2021-05-21,175.48268127441406,176.83959384316455,174.56608415355325,175.05134709889506,1223600
2021-05-24,177.06422424316406,178.24142892831472,176.29140985974382,176.54303628138547,1233400
