Price,Close,High,Low,Open,Volume
Ticker,AME,AME,AME,AME,AME
Date,,,,,
2021-04-12,128.73690795898438,128.84339068599644,127.12999217709476,127.12999217709476,784100
2021-04-13,127.64303588867188,128.3496858994222,126.79117410860887,128.14641010150942,1022200
2021-04-14,126.91700744628906,128.35936148023438,126.82019961068933,128.15607093379572,707000
2021-04-15,128.8917999267578,129.66621853745733,127.27520901623105,127.27520901623105,1006000
2021-04-16,128.6013946533203,130.48902969729815,128.05929133355795,130.03405935710796,1456900
2021-04-19,127.89469909667969,129.01760497617911,126.72340407112728,128.74656076675532,727500
2021-04-20,126.70407104492188,127.9915387451101,125.968381546588,127.29456352740212,723400
2021-04-21,128.8336944580078,128.91113778013408,126.49108935420051,126.8589414415995,624900
2021-04-22,129.25962829589844,129.94692856371134,128.67881075209027,129.36611101990314,946300
2021-04-23,130.69227600097656,131.27309346985635,129.2402470995789,129.5112913128423,540900
2021-04-26,130.3824920654297,131.68930895911512,130.14048729576953,130.9536197768359,768000
2021-04-27,130.77943420410156,131.0214390677133,129.366119301455,130.6051830214827,543000
2021-04-28,130.75038146972656,131.69903630252645,130.1598890718933,130.65357362583134,737100
2021-04-29,132.70574951171875,133.43176391679958,130.87619380174706,131.72805543036486,948000
2021-04-30,130.61485290527344,131.9216850271399,130.25669044747772,131.51511864431131,881900
2021-05-03,130.01467895507812,131.747441895479,129.579073193631,131.747441895479,1104200
2021-05-04,131.67967224121094,132.51216948089754,128.87242200804624,129.5403577291766,1462200
2021-05-05,132.50247192382812,133.00583126943704,130.6341871996852,132.56055071210602,1381200
2021-05-06,131.49574279785156,132.89936787812212,130.3825264719687,131.85391999561094,1509200
2021-05-07,132.9381103515625,133.6447604010043,130.47933272295563,131.06015029040094,1545400
2021-05-10,132.70574951171875,134.62243817610883,132.54118801906318,133.393049647681,886000
2021-05-11,131.78616333007812,132.05720758618267,129.8597993655884,131.33119302073032,1333700
2021-05-12,126.65563201904297,131.5150926706993,126.29746963198264,131.43764936010223,1660800
2021-05-13,129.1531219482422,129.70489999101352,126.96540383889149,127.3235662219389,856400
2021-05-14,130.04373168945312,130.55678082544733,129.47260374875088,129.9372489572201,716900
2021-05-17,129.65652465820312,130.12116984820696,127.94312613338339,129.45323407899903,713200
2021-05-18,127.85601043701172,130.0146896697651,127.79793163347286,129.55971934763798,786700
2021-05-19,127.32355499267578,127.44940220623707,125.52303881996687,126.22968864907314,911900
2021-05-20,128.1464080810547,128.33033412346867,127.12030991895897,128.16575783334847,715500
2021-05-21,128.6013946533203,129.57908901691778,127.75920765615702,128.76595619348197,1615000
2021-05-24,129.41452026367188,129.91789450427814,128.37873238115557,129.31771241212303,1077600
2021-05-25,128.86276245117188,130.22767361125517,128.71756542171906,129.59846678921735,787000
2021-05-26,129.22093200683594,129.35645414981528,127.84634605067227,128.8724443862025,561900
2021-05-27,130.08248901367188,130.64394219922488,129.87919838220296,130.30512940371267,853600
2021-05-28,130.77943420410156,131.234404529356,129.73397142080233,130.79878395821115,875400
2021-06-01,131.427978515625,132.5702341476566,130.85683592880756,131.97006693562656,728100
2021-06-02,131.52476501464844,132.48310934769495,130.7406718197926,131.26341046356376,1205900
2021-06-03,132.45407104492188,133.1704105819644,130.37282086887177,130.88588464228397,1094400
2021-06-04,133.29624938964844,133.52857932995852,132.52183102608325,132.94776186458418,999700
2021-06-07,132.30886840820312,133.6834687873066,131.46669635930064,133.64473974436737,724300
2021-06-08,132.33790588378906,133.00582669682308,131.39892611677578,132.60895006696813,584500
2021-06-09,131.3699188232422,132.0862437234745,131.079510050076,132.06687919971574,567700
2021-06-10,131.98947143554688,132.6186782341749,131.16664891044306,131.91202809911778,718100
2021-06-11,131.70828247070312,133.21091929430267,131.42715103044847,132.81344485075397,673100
2021-06-14,132.01852416992188,132.09608125785533,130.71947623016618,131.32053996352485,553600
2021-06-15,132.9685516357422,133.33692921370928,131.42714375800344,132.04758550207742,548200
2021-06-16,131.26235961914062,133.4145207101496,131.2041955019515,132.96858595003167,720900
2021-06-17,129.8954620361328,131.96036221526452,128.90662763939937,131.6695416213743,870300
2021-06-18,126.65750122070312,128.93569421595515,126.57995893331197,128.07289204184914,1545100
2021-06-21,129.6337127685547,129.81790901212133,127.53971567195909,128.0341402820596,779200
2021-06-22,129.5367431640625,130.13780683542015,129.04233342105098,129.76941440386227,662800
2021-06-23,129.20716857910156,130.08936393965575,128.8000049032698,129.87608561529092,594800
2021-06-24,129.54644775390625,130.1571857239125,128.78058083068333,129.943907451053,758500
2021-06-25,129.5658416748047,130.39956189934395,129.52707052616438,129.63370967555318,1042300
2021-06-28,129.15866088867188,129.8178886679956,128.16984140843687,129.7209386205214,1307900
2021-06-29,128.916259765625,130.42858535562925,128.79024249478843,129.68212643780387,648600
2021-06-30,129.42042541503906,129.61431073431407,128.55762317063886,128.7224264316477,709300
2021-07-01,129.8469696044922,130.57405057678028,129.40102009945537,130.27352614170124,607800
2021-07-02,130.81640625,131.03937359834117,129.44949052049583,129.8663579552204,775800
