Price,Close,High,Low,Open,Volume
Ticker,AVY,AVY,AVY,AVY,AVY
Date,,,,,
2021-04-12,180.53701782226562,182.50277095723257,179.60007989090167,181.33618890254834,491200
2021-04-13,177.87310791015625,179.9031676288968,176.52279967537856,179.41632332834283,611300
2021-04-14,178.8008575439453,179.99500944609053,176.57790474954496,177.7996128172784,722600
2021-04-15,182.29147338867188,183.44888855718813,179.9307394637096,180.24305205798493,525100
2021-04-16,182.42926025390625,184.5787254492685,181.57497699952663,183.85304231726877,416700
2021-04-19,182.42926025390625,184.5787254492685,181.85973341219912,183.2651540411946,539700
2021-04-20,181.91485595703125,183.24680289058276,180.445142192547,182.82425159827127,518800
2021-04-21,183.00796508789062,183.27436008263246,181.48313897598024,181.98834476312507,555200
2021-04-22,183.71527099609375,184.59711046407466,181.43720556032378,183.99084670586046,639200
2021-04-23,185.6994171142578,186.3883494466319,184.1194645107041,184.6614212482443,407500
2021-04-26,184.44093322753906,186.92110050599968,184.11943992517877,186.09437340772536,570900
2021-04-27,187.61004638671875,188.75826687083566,183.5683018728093,183.72445817668557,1075800
2021-04-28,194.19625854492188,199.3127222906969,188.4459607639237,188.4459607639237,1188200
2021-04-29,197.2458953857422,197.6133343349541,194.12274140743608,195.5648989860499,547700
2021-04-30,196.7314910888672,199.11060042175325,195.14235796113726,197.36531099974812,683000
2021-05-03,196.30897521972656,197.94404014546015,195.4730673036594,197.76950838096656,603300
2021-05-04,197.21835327148438,197.31021651942473,195.10562471612994,195.80375176120364,674600
2021-05-05,198.3390350341797,199.1106359257243,195.56493009587595,197.99916621641086,805800
2021-05-06,202.40829467773438,202.4358508456114,197.99912560470153,199.12897053674627,419100
2021-05-07,203.42788696289062,204.61284406773427,200.64458824281016,201.04876400457394,388800
2021-05-10,203.5381622314453,207.7728000343289,203.45549371862626,205.1364902277654,469300
2021-05-11,200.61708068847656,202.2888964687896,198.59621540635985,202.2888964687896,546800
2021-05-12,197.44798278808594,200.89264408591146,197.12648947677317,200.62626311274587,483600
2021-05-13,202.4910430908203,203.32695122326544,197.0898077936274,197.87060356856932,443400
2021-05-14,201.2233428955078,203.99744753367096,200.98451807863998,203.152358932027,537700
2021-05-17,202.96864318847656,204.02500041943338,199.6617626123594,201.35193978843563,368500
2021-05-18,198.46762084960938,203.58409828293344,198.42168922492306,203.18910313026765,414600
2021-05-19,198.4308624267578,198.63295034035679,194.79329399833892,196.73149061231993,496800
2021-05-20,199.32191467285156,201.10394126343678,198.01753775824275,198.76158246155666,407400
2021-05-21,198.98199462890625,201.67343049005066,198.52270647657926,200.1302150097237,499300
2021-05-24,200.99371337890625,201.96740218586893,199.27597988044812,200.67222002707084,460800
2021-05-25,199.30349731445312,201.6183134730148,197.8613258217784,201.3519185016878,598200
2021-05-26,199.06468200683594,199.88221437727498,196.7314902869117,199.36779986037058,856500
2021-05-27,200.8375244140625,201.30599328756978,199.35861599021146,200.63543650399373,1153300
2021-05-28,202.5736846923828,202.81250954859772,199.79957959717805,200.47933128752686,522200
2021-06-01,205.07070922851562,206.82141119331962,204.33357229910962,204.66528321435646,542600
2021-06-02,202.14060974121094,205.7986389579345,200.35305724017613,205.7986389579345,585200
2021-06-03,202.0208282470703,202.0208282470703,199.56064470541241,201.04412774660517,487100
2021-06-04,203.0066680908203,204.1492165547698,201.77195821245377,203.4581535736214,391400
2021-06-07,199.4132080078125,203.6333025718061,198.4365075391496,203.6333025718061,778100
2021-06-08,201.1177978515625,201.72592270465802,197.47820160745735,199.09068220190906,385400
2021-06-09,200.97959899902344,202.31566574410226,200.30696809916955,201.00724040177658,235300
2021-06-10,200.03054809570312,202.61972936280415,199.76334317171882,202.0576640512482,266700
2021-06-11,202.1129608154297,202.35252433542138,200.29776697705606,200.9703979037491,353200
2021-06-14,196.77792358398438,201.97471784132398,196.6581348071157,201.8825845250305,658500
2021-06-15,197.8007049560547,198.4825590086364,195.22073298865882,196.78715408081368,697700
2021-06-16,194.50205993652344,197.96659950487359,194.04135108411248,197.3308190389915,418200
2021-06-17,192.18008422851562,195.62617720936655,188.76161859241375,194.50204656200478,382200
2021-06-18,189.3421173095703,190.8163771086754,186.8174278957448,188.1534806717117,823400
2021-06-21,193.38711547851562,194.566528790815,191.39685024161707,191.6364137376506,383300
2021-06-22,193.53453063964844,194.51124502567836,191.88519945723925,193.21204294193623,354100
2021-06-23,192.22613525390625,194.07819362852018,192.0510636603142,194.07819362852018,222500
2021-06-24,191.489013671875,193.70041030289974,191.20336240378674,193.70041030289974,539200
2021-06-25,192.27218627929688,194.40988160840865,191.94969859307554,192.20769436593866,786500
2021-06-28,192.94483947753906,193.37790687355647,191.15730114683788,192.75134965531998,386900
2021-06-29,193.23046875,194.49280621699816,192.95404069000432,193.32260206352177,236100
2021-06-30,193.7188262939453,194.18874417208116,192.53018980849035,193.055404548509,274200
2021-07-01,193.7464599609375,195.34050828522405,193.3502431283637,195.12858619880467,387000
2021-07-02,193.4055633544922,193.8294216690675,191.80230560653544,193.8294216690675,349600
2021-07-06,190.2911834716797,193.4977130657627,188.33776842678847,193.2673586454463,467700
2021-07-07,193.04615783691406,193.59901391060657,189.69219900380733,189.69219900380733,592300
2021-07-08,191.17572021484375,191.7654269180084,188.35618460097166,190.19901980582577,384500
2021-07-09,193.82017517089844,194.5296565171272,192.5762559321397,193.7648783111878,330700
2021-07-12,193.89385986328125,195.46948982899002,191.94045944285676,192.4472418329803,483600
2021-07-13,191.8575897216797,193.59906856784033,191.13888505880186,193.0001527020148,569000
2021-07-14,191.70094299316406,193.54377827488693,191.35079979052713,192.21693462249166,349300
2021-07-15,191.53501892089844,192.76050567636923,190.14368379206357,190.50303599406533,296800
2021-07-16,187.31495666503906,192.1984722081148,186.65154900254018,192.11554800776685,465100
2021-07-19,183.2146453857422,186.14476023580528,181.4547346530736,184.91927332005926,732200
2021-07-20,184.9745330810547,187.99678086539774,182.8921349307796,183.3896941136903,907700
2021-07-21,187.1306610107422,188.01522792285058,185.85911452796108,185.951247834407,664200
2021-07-22,185.09437561035156,187.27813086598943,184.67051731977912,187.27813086598943,376300
2021-07-23,186.35671997070312,186.8358610860879,184.0531758425115,185.49980830368028,399400
2021-07-26,189.16700744628906,189.70143126052702,186.32903998087787,186.40275506488118,445200
2021-07-27,188.93667602539062,190.89007677969522,186.32906260843166,188.15346546499381,683700
2021-07-28,193.4884490966797,197.78224358870523,190.19898215845743,190.82555331513913,1185400
2021-07-29,193.22125244140625,194.85216539957835,191.6087717704794,194.85216539957835,436900
2021-07-30,194.12429809570312,194.48366454010718,192.8988247769571,192.8988247769571,342000
