Price,Close,High,Low,Open,Volume
Ticker,BDX,BDX,BDX,BDX,BDX
Date,,,,,
2021-04-12,174.5516357421875,174.77034185760039,173.47219712635234,174.51636373166045,1321010
2021-04-13,176.87278747558594,177.40898381262932,173.9096296959258,174.09306380745974,1270944
2021-04-14,176.25189208984375,177.08439835894967,175.3488277809355,176.851572266998,1439395
2021-04-15,181.91725158691406,182.69332014271066,176.9221980245843,176.95747004007873,2697301
2021-04-16,184.0972442626953,184.85214659340946,181.99480533996731,182.7214816445944,2482826
2021-04-19,182.7003173828125,184.0196419971841,181.51504884886754,183.63865380253424,1879688
2021-04-20,180.9224395751953,183.85738506145407,180.73900548230412,182.53101438702427,1950224
2021-04-21,182.121826171875,183.21537078527365,181.43746775958292,181.7055659185146,1797549
2021-04-22,181.4092559814453,182.36169851798505,180.6755195606821,181.33869792445594,1273161
2021-04-23,180.50619506835938,181.70556977466015,177.88167951901457,181.70556977466015,1997422
2021-04-26,181.635009765625,182.27702207223808,180.50617918126179,180.60494922567787,1391415
2021-04-27,182.1712188720703,183.03901145932466,178.69303061350493,181.41631637780588,1373814
2021-04-28,181.67733764648438,183.36353061678832,181.11998935782742,182.39696806043912,1087369
2021-04-29,177.38076782226562,182.21355303844715,177.14089567110145,182.13594899375514,1537832
2021-04-30,175.53936767578125,177.58535486269224,174.5093070478492,176.61880631223056,2246839
2021-05-03,178.58010864257812,179.03162679099307,175.72981348410042,176.17429968895618,1276290
2021-05-04,177.45127868652344,178.34022302713137,175.89914206224915,178.29084502810622,1299497
2021-05-05,176.2166290283203,177.7899317593227,173.5850678488168,177.55711967283003,2237712
2021-05-06,169.89523315429688,172.77372667192586,168.0538321534372,170.72773959567704,3668632
2021-05-07,168.89341735839844,172.81607788022035,168.5759271320683,168.89341735839844,3322474
2021-05-10,174.00132751464844,175.56757035147783,168.70290466648925,168.9145647940949,2425720
2021-05-11,170.17039489746094,175.41238026081265,169.73298263666632,174.4881496566282,2062742
2021-05-12,170.48081970214844,171.83541654310451,169.3519890013517,169.3519890013517,2134190
2021-05-13,172.20225524902344,173.50744578522588,170.49489647501252,170.98170068371357,2337322
2021-05-14,171.00286865234375,173.90960197849964,170.84060058091873,172.62556340240994,1753350
2021-05-17,170.0927734375,173.05594504518166,170.0575014281681,171.34154011886056,1276811
2021-05-18,170.86172485351562,171.65191304255535,168.75928641832348,169.23904453565567,2195860
2021-05-19,171.1863250732422,171.3627131988111,169.6694742154216,170.59369072726494,1381376
2021-05-20,172.70315551757812,173.04885764745572,170.34673863667558,170.4807806724178,1451390
2021-05-21,172.48446655273438,175.75805410656847,172.21636841884228,173.43690899918477,1331832
2021-05-24,171.9482879638672,173.64152695154584,170.94645337561036,172.8725185138698,1678382
2021-05-25,171.08053588867188,172.4633449010179,170.02930909422741,171.75077437788775,2069391
2021-05-26,170.74891662597656,171.61669513264295,168.87224349473183,169.53542187698977,2108636
2021-05-27,169.98692321777344,171.41912382798355,169.51422501266893,170.73477955616576,4219488
2021-05-28,170.6571807861328,172.35747970647986,170.46670070814017,171.42620322170995,2000290
2021-06-01,168.24429321289062,170.4172759386457,168.12435717620488,170.12096585433056,2497820
2021-06-02,168.39248657226562,168.97807495538066,168.01857236775984,168.21611247715228,2054528
