Price,Close,High,Low,Open,Volume
Ticker,CI,CI,CI,CI,CI
Date,,,,,
2021-04-12,224.60797119140625,227.05670481674184,224.37954392297894,224.4434963082497,2127200
2021-04-13,224.0962677001953,226.28917769851992,224.04144739010349,224.83638371271422,1423500
2021-04-14,227.91555786132812,228.71962618166106,224.41605098435963,224.41605098435963,1169100
2021-04-15,232.41099548339844,233.80896897974816,227.91554938543777,228.0069119098377,1670000
2021-04-16,230.77548217773438,233.37041231691907,228.79272143578012,232.78563913143952,1542900
2021-04-19,230.702392578125,232.59376297585464,229.587666472374,231.62523365756775,1321600
2021-04-20,231.50643920898438,232.53893481521308,229.49628224654447,230.36430298690573,1049000
2021-04-21,231.16836547851562,234.585628045259,230.72978908416036,232.9957833874367,1447500
2021-04-22,230.748046875,231.14094896449373,226.60894654056483,230.25465018768963,1256600
2021-04-23,230.07191467285156,231.6252170877832,227.55921507919712,231.16836261620966,879200
2021-04-26,227.86074829101562,231.52471625588862,227.28510717619525,230.52877682079665,1133300
2021-04-27,228.82928466796875,229.31354932361128,226.10643574607613,227.27598215314785,1106600
2021-04-28,225.81402587890625,230.58358764005737,225.39371363383782,229.41404131737812,1213600
2021-04-29,228.64654541015625,229.72471533904096,226.7368830022363,227.6140497776434,1284600
2021-04-30,227.52264404296875,228.1987936358574,224.91858209045688,227.75107126382545,1428300
2021-05-03,230.3003387451172,232.36531590911088,228.42723264897722,228.88408711427516,1282600
2021-05-04,237.1074676513672,237.11661366361818,229.66074543876795,230.53789820516687,1873300
2021-05-05,236.12071228027344,237.54609621166793,234.09227701110615,236.49530846428598,1546700
2021-05-06,234.75926208496094,237.3907486391342,232.88616966570487,236.12070754555845,1709100
2021-05-07,238.64247131347656,240.91762531658424,233.92773029025824,234.75920869182048,1761000
2021-05-10,243.87806701660156,249.2689444177569,239.54709537756048,240.21408508658612,2517300
2021-05-11,238.35008239746094,243.1470539640285,235.672922101085,242.7541658422085,1381400
2021-05-12,236.39479064941406,239.53795180097882,236.2211837108427,238.5694225037835,1750400
2021-05-13,241.21917724609375,242.8364321461413,237.24453749872436,237.9115551104769,1470500
2021-05-14,240.7805633544922,242.13286258762716,240.5247259735405,241.59377767362838,1103800
2021-05-17,241.87704467773438,242.76334351241087,239.93998608256982,241.2831394117355,813000
2021-05-18,240.4608154296875,242.1328906697992,239.1267801818359,241.511575227455,710900
2021-05-19,239.77552795410156,239.95825302351773,236.04757962043362,237.8658516067742,869800
2021-05-20,238.1674041748047,240.61613773511613,237.09835231790996,240.0679067286108,917100
2021-05-21,239.6110076904297,242.5805615494651,237.99375301166057,239.07192279750666,1020900
2021-05-24,238.96231079101562,241.27399341794603,238.733883543753,240.66182401042605,954600
2021-05-25,237.19883728027344,239.55619398578946,236.67801651229541,239.09933953335602,1444700
2021-05-26,237.00698852539062,238.5420129378426,233.4800573208677,237.45469700797608,1245300
2021-05-27,237.1074676513672,238.0029124422681,235.6638198090818,237.80189536203252,2578800
2021-05-28,236.51358032226562,238.9714597639922,235.76433224975872,238.51460526380788,1054900
2021-06-01,235.4445343017578,238.13998707267933,233.05976713667087,237.62831225064872,1297900
2021-06-02,233.3704071044922,237.2628161684231,232.58461684698383,237.2628161684231,1259600
2021-06-03,234.7957763671875,236.78765507035655,232.2556667490059,233.16937564596594,1716300
2021-06-04,231.11354064941406,236.12979378830235,230.95821180324643,235.37142763998142,1487500
2021-06-07,227.1322784423828,233.03073906765215,224.98570270557428,233.03073906765215,2593000
2021-06-08,225.59121704101562,227.34333176896078,224.06843626183505,226.88466387143168,1661900
2021-06-09,222.00440979003906,226.3158988182266,221.87598335073764,225.88474991540784,1933200
2021-06-10,219.8394775390625,224.0408763928506,218.9863621242246,222.7382614814469,1679000
2021-06-11,221.857666015625,223.76571213768784,220.4999989706893,221.6650193411972,1988200
2021-06-14,219.78445434570312,221.54573718871163,218.8029124372378,220.7476596185412,1471500
2021-06-15,219.3166046142578,220.3898856241823,216.39947002535482,220.33484772584222,2252100
2021-06-16,217.3994140625,220.50918183286728,216.58298576872906,219.61936499615325,2040700
2021-06-17,217.12417602539062,217.86721565815157,214.07861496563396,217.72043859558786,2592100
2021-06-18,212.7943572998047,215.01430794996426,212.04213532877384,212.81270793255536,4244700
2021-06-21,216.93154907226562,217.28930944634456,213.2622061596887,213.6933550717111,2559500
