Price,Close,High,Low,Open,Volume
Ticker,DG,DG,DG,DG,DG
Date,,,,,
2021-04-12,192.8292694091797,193.74250152786138,190.8275511974678,191.1780872971526,2192200
2021-04-13,195.5966339111328,196.10398511359918,192.86618501775953,193.58569615016836,2277600
2021-04-14,196.98951721191406,198.03187781743884,195.2091785286408,195.4490249227822,2396800
2021-04-15,199.01893615722656,200.05207746301542,196.73126009062497,197.37697340674302,2010200
2021-04-16,199.93215942382812,201.8047349949557,198.09647572248153,199.57240387261382,2301200
2021-04-19,199.92291259765625,200.61475123284333,198.7883011770875,200.2549957055658,1432700
2021-04-20,201.36195373535156,201.98000869429174,200.11665251963043,200.69780153226358,1463500
2021-04-21,200.02438354492188,202.80097161908486,199.8860214475852,201.62945425149292,1672700
2021-04-22,198.47467041015625,200.43026310858224,196.86959971444304,200.09818000172754,1570700
2021-04-23,196.76815795898438,198.59460827323886,194.86790982413942,198.59460827323886,1585100
2021-04-26,195.31063842773438,196.25154283274708,193.55798633110518,196.23308986290593,1616400
2021-04-27,195.92869567871094,197.19246382251893,193.9638835278806,195.24609056758868,1435400
2021-04-28,195.63352966308594,196.9157367758673,194.79409536052208,195.63352966308594,1002100
2021-04-29,198.2071533203125,198.76062986173366,195.98405585760457,196.5190653520204,1424000
2021-04-30,198.09649658203125,198.74220993739743,196.98032386558037,197.4600026762076,1398800
2021-05-03,199.775390625,200.94689426223235,199.04664582968502,199.26803932614095,1503600
2021-05-04,199.47091674804688,199.57238697572112,197.03564535935786,197.9119714662757,1916700
2021-05-05,199.1388702392578,200.42107749248677,198.4470314894833,200.1351197279926,1032400
2021-05-06,201.55567932128906,201.82318409833763,198.84366930168318,199.75690147425294,1336400
2021-05-07,203.1238555908203,203.81569434560888,199.95985310849184,202.28442119022463,1374300
2021-05-10,201.88771057128906,205.27310546328812,201.78624035597613,203.86175597106617,1506300
2021-05-11,197.3123779296875,201.03909001758294,195.7073212652861,200.79924360989563,1996600
2021-05-12,189.90509033203125,195.44903298762674,189.84052604474704,194.26829616549344,2918400
2021-05-13,189.8036346435547,191.2149844543222,187.2945651854137,190.33865825637093,2499000
2021-05-14,190.20950317382812,191.16886064984098,188.0232975461055,191.16886064984098,2069100
2021-05-17,188.3646240234375,190.66153369800045,186.31678023539226,190.2648721694356,2305200
2021-05-18,189.05645751953125,191.7039032516893,188.92731485519388,189.563808727819,1711100
2021-05-19,187.9310302734375,189.9881071446421,186.0031101179157,187.57127477037128,1443000
2021-05-20,188.2908172607422,189.3239726305141,186.44591404924992,187.89416982650872,1295000
2021-05-21,189.1394500732422,190.08958807124452,188.41071957873714,188.83505346353894,1381500
2021-05-24,181.86131286621094,188.12476661503857,181.5200103054757,185.01610947408918,3570500
2021-05-25,183.44790649414062,184.4257027318201,180.57908206022688,182.97746134454712,2294900
2021-05-26,184.47186279296875,185.92011852796654,183.5125193442046,184.2043580283259,2648100
2021-05-27,188.53988647460938,191.8699373933503,186.56584056637067,188.18013090501665,4109900
2021-05-28,187.22079467773438,191.07663585145957,186.56584780741747,189.61916054294048,2730200
2021-06-01,185.80020141601562,187.6727770564506,185.5880414870609,187.25767664745416,1778800
2021-06-02,186.54736328125,187.49748720213267,184.39804959284277,185.34817351372544,1702400
2021-06-03,190.02500915527344,190.44934303883704,186.33520315225843,186.9624634165344,2008200
2021-06-04,190.72605895996094,190.91977995993753,188.64132372581616,190.07112630509562,1610800
2021-06-07,190.02500915527344,191.03047791297675,189.16713601580904,190.97513307501038,1529000
2021-06-08,189.76678466796875,191.07666452970403,188.90889717811905,191.07666452970403,1651000
2021-06-09,189.0380096435547,190.92903833880584,188.82584970545673,189.99736724064084,1823500
2021-06-10,190.4401397705078,190.98438286429746,188.43842138492073,188.43842138492073,1965600
2021-06-11,193.07833862304688,194.12071341619688,190.3386562949667,191.14119874366816,1757300
2021-06-14,193.29971313476562,193.843956137409,191.69464247008776,193.36427742000654,1343100
2021-06-15,195.67042541503906,196.2515744168829,192.94919605843492,193.90855358768488,2012400
2021-06-16,194.76641845703125,196.50985131234955,193.6133540269135,195.93793585916907,2442300
2021-06-17,196.74049377441406,197.68139843197474,194.2775494704868,194.72032233707597,2147700
2021-06-18,196.2054443359375,197.49688496746535,195.14463067030198,195.5597310579205,3689900
2021-06-21,197.3769989013672,198.18876093247977,196.1778088305408,197.04491571368445,1650000
2021-06-22,198.1795196533203,199.24034755256568,197.05412745439682,198.12417480345454,1277300
2021-06-23,197.4784393310547,198.24407584467892,196.31615538744737,197.86586731225714,1528300
2021-06-24,197.3123779296875,198.48389532160198,196.63899224951328,198.48389532160198,1571100
2021-06-25,195.4767303466797,197.589138408372,195.0339434252679,197.04489531906856,4079600
2021-06-28,198.3455352783203,199.32333166458855,195.4951493050086,196.10397070323003,1504700
2021-06-29,200.16278076171875,202.06302883422026,198.4193477745165,198.61305473115308,1397400
