Price,Close,High,Low,Open,Volume
Ticker,EA,EA,EA,EA,EA
Date,,,,,
2021-04-12,137.75466918945312,137.98840462973428,135.6900581441925,135.77770336173833,2058100
2021-04-13,138.39744567871094,140.12120944689684,137.75468429258595,138.86490175036522,2105300
2021-04-14,137.91046142578125,139.31284402794665,137.57934743920208,138.21236034649493,1424900
2021-04-15,139.04017639160156,139.23494847347604,136.94633564601827,137.91047751250935,1654300
2021-04-16,137.3650665283203,138.68953707264882,136.6054452458535,138.39737161166482,2468400
2021-04-19,135.98220825195312,137.65727489958064,135.12519326196028,136.34253734540135,2856300
2021-04-20,137.18008422851562,138.04683270719147,135.2031184304105,135.9530066207755,2058300
2021-04-21,137.35537719726562,137.51120082466323,135.4563231763544,136.64445232998276,1576700
2021-04-22,137.56959533691406,139.52709385619156,136.7515437952052,137.42352001166432,2498500
2021-04-23,139.40052795410156,139.8485171887596,137.16061150113092,138.79672994492572,2365300
2021-04-26,140.0335235595703,141.59172999154544,139.30311708086157,139.87771480449908,1749200
2021-04-27,139.71217346191406,140.65681894235695,138.77724652579641,140.58865539064476,2159500
2021-04-28,140.22830200195312,141.16321391629694,139.5758073704415,140.3256806104456,1453500
2021-04-29,142.51686096191406,142.88693820944653,139.74132618587925,140.53016254180653,1698700
2021-04-30,138.36819458007812,142.46820098020046,138.19288931124655,141.30930193803994,2551400
2021-05-03,137.49169921875,139.72188183952568,137.36510554248574,138.98174200695212,2242800
2021-05-04,133.47933959960938,137.19955019339994,132.203565397706,137.05345998957344,2511900
2021-05-05,134.25843811035156,136.93659495910282,134.03445097111802,134.41426171162556,2126700
2021-05-06,137.64755249023438,137.72546430942737,133.9857861491244,133.9857861491244,1957300
2021-05-07,138.69931030273438,140.08221136435512,138.07603074172,138.86486731079916,1603800
2021-05-10,136.9755401611328,139.5855334096506,136.94632509411056,137.75464328875705,3119100
2021-05-11,137.66697692871094,138.7479788228559,135.0667323422874,135.27123778001126,4112800
2021-05-12,136.02113342285156,138.97197378680207,134.19024347974917,137.95915022135154,5809100
2021-05-13,135.49526977539062,137.2579816196188,134.42400104456607,135.29074943217606,2322900
2021-05-14,134.9985809326172,137.03399147671615,134.24870769757968,136.54705385700808,2494400
2021-05-17,133.9370880126953,134.73567300600425,132.88530075476058,133.4696319625554,2031200
2021-05-18,134.45321655273438,137.0145132519717,133.18717573766753,133.72281010482934,2079500
2021-05-19,135.25180053710938,135.56343289227434,132.01852754884965,132.42755337384204,1720100
2021-05-20,138.105224609375,139.3615318014743,135.3783713759831,136.26460127736254,2459000
2021-05-21,136.50807189941406,139.44917888198495,136.2256546569878,138.74798761646932,2967400
2021-05-24,138.37791442871094,138.94276379048674,136.5080759518783,137.69620480593164,1649800
2021-05-25,139.51734924316406,140.08219861582734,137.8033343214019,138.86485467305877,1897000
2021-05-26,140.22830200195312,141.92283541926014,139.43945057026954,140.2380354047553,1617000
2021-05-27,139.19598388671875,140.68602670701725,138.79670632352898,139.57580950416377,1913200
2021-05-28,139.19598388671875,140.4425578918287,138.9914784036484,139.56606124105562,1341000
2021-06-01,140.0345458984375,140.55131334662607,138.620747882113,138.620747882113,2610300
2021-06-02,137.8699188232422,140.26851104803245,137.41165126353775,140.10275691250013,1522100
2021-06-03,138.44520568847656,138.99122283183308,137.13864766361476,137.37266138698956,1574900
2021-06-04,141.58480834960938,142.17958016640264,139.07896179887126,139.33246548815112,1919500
2021-06-07,142.0820770263672,142.31609074226637,140.4537706409273,141.1265470560179,1510500
2021-06-08,141.8675537109375,143.5836094857107,141.57504031534506,142.7938337321057,1157900
2021-06-09,142.1796112060547,143.75916314919309,141.93585245542945,142.6281189756072,1769800
2021-06-10,142.0236053466797,142.7451217435285,138.75723206099482,142.7061268887747,3279100
2021-06-11,142.73533630371094,143.09609439991067,141.36053373700722,141.60429242424476,1247500
2021-06-14,144.84144592285156,145.02670494524662,142.50135309796775,142.9986304481551,1746200
2021-06-15,141.18507385253906,145.21195836765574,140.70730133677614,145.20221337348437,1795600
2021-06-16,139.0399932861328,140.65854003630034,136.94365916467885,140.36604144629314,2922500
2021-06-17,138.38671875,139.96628566214994,137.15817993197606,138.59148265859778,2199700
2021-06-18,137.59693908691406,139.0789965027748,136.4269000229625,138.45497467681037,3235600
2021-06-21,137.44094848632812,138.54272798624504,135.3251093154256,135.90039130750296,2628500
2021-06-22,137.3434295654297,138.1234605345844,136.57315846802086,137.645688032487,1531700
2021-06-23,135.15933227539062,138.13319167832157,134.7790692617602,137.40191550765914,1730100
2021-06-24,135.18858337402344,136.01736899286266,134.1648086279716,135.10083380342218,1642900
2021-06-25,135.1300811767578,136.2318753580081,134.60356888497503,135.71510805905126,2266800
2021-06-28,139.4105224609375,140.86333019963337,136.00765928779168,136.20266334345112,2626800
2021-06-29,140.50253295898438,140.92179081840234,138.6792076060656,139.60548777176837,1575400
2021-06-30,140.23927307128906,141.02904896895006,139.57624159515194,140.71704553383123,1799900
2021-07-01,138.59146118164062,140.22952756301564,137.89917985093734,139.878514401139,2621600
2021-07-02,139.82977294921875,140.31729044931822,138.58172933919235,139.71275863225455,1224500
2021-07-06,139.43002319335938,140.2002943976118,138.41599320730037,139.95653561580522,1884300
2021-07-07,139.38125610351562,140.64880463209667,138.98148816611206,140.49279545488736,1956900
2021-07-08,136.9436492919922,138.82547439320567,136.5438814106655,137.7919397754162,1863700
2021-07-09,137.47019958496094,137.94795724642495,136.00764698305017,136.06614670666988,1738700
2021-07-12,137.86019897460938,138.99124315283987,137.05091813386792,138.99124315283987,1946400
2021-07-13,139.6737518310547,142.27709327355825,138.90348079304061,139.8590108457023,2695800
2021-07-14,139.54698181152344,141.3800520752039,138.97171482548788,139.7322408119402,1933100
2021-07-15,139.09848022460938,140.8925408418068,138.03569577095072,139.77125667552133,2423200
2021-07-16,139.52749633789062,140.41476676553793,137.70417100765167,139.06922875715395,3419700
2021-07-19,137.71392822265625,141.5458080599471,136.85589278967765,139.47873892906355,2199100
2021-07-20,137.54820251464844,138.44523298097826,136.3879084173547,137.82121114014646,1870000
2021-07-21,137.20692443847656,140.29778355916707,136.69990207988994,140.29778355916707,2071100
2021-07-22,138.7377166748047,138.90348570903672,136.57315277053402,136.57315277053402,1913200
2021-07-23,141.3703155517578,141.73107370395937,138.23070198253626,139.08872257786848,2269500
2021-07-26,141.62380981445312,142.36483093318745,140.2100122789668,141.49705052496336,1307000
2021-07-27,138.38671875,141.59459242495504,136.81692658811878,141.43858324486663,2126600
2021-07-28,139.9760284423828,141.54583545728502,138.6889899216494,138.79624437153169,1353700
2021-07-29,139.80050659179688,141.01930019821762,139.31298914922857,140.35626873984188,1643100
2021-07-30,140.3660430908203,141.77008097286358,138.8937307405538,139.2739937898713,2825200
2021-08-02,140.5122833251953,142.00408556690817,140.21976987277367,141.38006381140642,2054200
2021-08-03,136.3098602294922,139.74198669524574,133.74551409105663,139.0789553326362,4492500
2021-08-04,136.41717529296875,137.81146845581387,134.9058677918487,136.03691216875134,2897400
2021-08-05,133.45303344726562,142.84262510044692,131.47371362074367,141.21431846314258,5516100
2021-08-06,132.9362335205078,133.90152327377788,132.02945834931282,133.06299279822952,2401300
2021-08-09,132.76077270507812,134.39882440731716,132.04898642407431,133.2970449449256,1722800
2021-08-10,133.6090545654297,133.6675542892227,131.78574374389342,132.7120240856098,2210400
2021-08-11,134.84732055664062,134.99356983064243,133.6382720061058,134.47680255870154,1841300
2021-08-12,135.5200958251953,135.549345679748,133.51151158618987,134.66206041738135,1871500
2021-08-13,135.2178497314453,135.91987613762709,134.74009209241447,135.47136835903268,1572600
2021-08-16,136.50486755371094,136.5243724148737,133.96977120514492,134.51580317275366,1789100
2021-08-17,137.51893615722656,138.61098552422337,135.1788580011053,135.6956253845642,2340800
2021-08-18,136.49517822265625,138.3574840822495,136.32942402980532,137.42145865463772,2091100
2021-08-19,137.08993530273438,137.8797113203914,135.60787784664768,135.90039134003845,1888400
2021-08-20,136.67063903808594,138.2404458094554,136.1441267426153,137.40191520714902,2329900
2021-08-23,139.25450134277344,139.91751797998515,135.8418789530177,136.6511448843635,1895900
2021-08-24,139.01071166992188,140.74627233745377,138.61094385110226,139.58597860265274,1501900
2021-08-25,138.31846618652344,139.20575161036055,136.5146454789736,139.20575161036055,1638200
2021-08-26,137.93821716308594,139.322765223516,137.65544865171668,138.4354797094131,1016300
2021-08-27,139.37149047851562,139.74200850007787,137.68468427346173,137.98694271090383,1144000
2021-08-30,139.71275329589844,140.7267979889716,137.48967477058397,138.64996875695962,2011300
2021-08-31,141.75299072265625,143.6272794771931,139.2051264213046,140.23988860808325,3467600
2021-09-01,142.94393920898438,143.5003763897347,141.499177685467,141.87989237394535,1570100
2021-09-02,141.9384765625,144.2422929681482,141.53824869579867,143.37348166958523,2240600
2021-09-03,143.10992431640625,143.4515829877223,141.50896811749712,141.50896811749712,1192700
2021-09-07,141.7627716064453,143.5882480454665,141.6651463324282,143.5882480454665,1495700
2021-09-08,140.66943359375,144.02752539147625,140.47418305465766,142.28990284133295,2200400
2021-09-09,138.92202758789062,140.80608787972523,137.45773804424113,139.85917944985664,2624700
2021-09-10,141.6748809814453,143.4320162929394,138.1020113764336,138.63892045295532,3664200
2021-09-13,141.2356414794922,143.41256329387303,140.48398335270605,141.94827332328956,2131400
2021-09-14,141.90916442871094,142.46560156027252,140.87440228460238,141.76274144436437,1318400
2021-09-15,133.77748107910156,138.85369655427857,132.60605246772337,138.7658278643949,6359000
2021-09-16,132.72320556640625,136.37415781840167,132.30343483474343,134.62677891912082,4637600
2021-09-17,130.69276428222656,132.33276188279382,130.02894508995337,131.95204709012444,4178700
2021-09-20,126.99295043945312,129.37486386736055,125.69461189406019,128.83795471016438,3533200
2021-09-21,123.74224090576172,127.39320105759441,123.5469978147938,126.91486107054479,3689800
2021-09-22,123.39080810546875,124.58176486729597,121.9069904374419,123.1858084502339,4214400
2021-09-23,124.84534454345703,126.04605797784949,123.11748590088146,123.96676919648519,2571600
2021-09-24,126.80748748779297,126.92464079776295,123.83986678950828,124.01558185893751,2327300
2021-09-27,128.83795166015625,129.40414540383912,125.87033140917109,126.19247689586257,3326800
2021-09-28,130.58535766601562,131.7860710313319,128.38892314882676,128.720825234276,4349800
2021-09-29,134.65609741210938,136.2668102939564,130.62441457921454,130.66347065016544,5656600
2021-09-30,138.8634796142578,140.69872755604436,135.54442876622224,135.9934692867493,5017700
2021-10-01,140.17160034179688,140.67922505740657,136.21801427290268,138.52183118771168,3196200
2021-10-04,139.75180053710938,141.99704752999608,136.68655495759324,139.9470361678987,3215700
2021-10-05,140.65966796875,141.2844309914171,139.20514970259362,139.72253088251207,2682100
2021-10-06,130.87823486328125,140.16182721518047,129.69703448860915,140.16182721518047,8344300
2021-10-07,134.3144073486328,134.8317885088295,131.20034892314987,131.55177904097454,3627300
2021-10-08,136.6572723388672,137.21369463945936,134.1386924472589,134.20701821603996,2163000
2021-10-11,136.14962768554688,137.26248701804786,134.2362830091393,136.5889115202538,1908200
2021-10-12,133.41627502441406,136.50104800539398,132.7622276023649,136.20818717128464,3091900
2021-10-13,133.1918182373047,134.4803856669989,129.78489820670495,133.6994429316826,3097400
2021-10-14,132.47918701171875,134.38276079108738,131.41512509279235,133.46513679089782,2434400
2021-10-15,131.54200744628906,133.43582425959727,130.09724596938798,132.61582571018232,3298800
2021-10-18,131.5029754638672,132.49868167389812,131.00510746332753,131.44439136722636,1755900
2021-10-19,133.49441528320312,133.5139433172458,131.29798066245573,132.25464579318964,1614400
