Price,Close,High,Low,Open,Volume
Ticker,ETN,ETN,ETN,ETN,ETN
Date,,,,,
2021-04-12,130.4991912841797,130.78552735806042,129.49244170985293,129.49244170985293,1437800
2021-04-13,129.12295532226562,130.01887393134479,127.78370004988928,129.76949089236956,1535900
2021-04-14,129.52938842773438,130.4530149490842,129.03986749889273,129.16917464814483,1552200
2021-04-15,130.0465850830078,130.43450643548377,129.22455824464762,130.11123159504442,1619900
2021-04-16,130.36988830566406,132.16172615571975,129.68641364484685,131.57985098413528,1370000
2021-04-19,130.02816772460938,130.60081177763624,129.31697120836859,130.60081177763624,1259300
2021-04-20,127.88533020019531,129.56632308596195,127.05405790188324,129.3261852718301,1503700
2021-04-21,130.70236206054688,130.77625386108335,127.6451610421273,127.94995943430779,1432800
2021-04-22,130.60073852539062,131.68139357731798,130.13892542721965,131.28422698431393,2295000
2021-04-23,132.0508575439453,132.70662434601178,130.5361109262943,131.05333941621132,1652400
2021-04-26,132.4203338623047,133.51022051905073,132.1432571722548,132.38339500143894,1288400
2021-04-27,133.54710388183594,133.93502518012025,131.63520504790483,132.42027883249807,1874900
2021-04-28,133.49169921875,134.74783146774834,132.81745601031807,133.122254360452,1570100
2021-04-29,133.94430541992188,134.80327121314514,132.63275761387166,134.76633235798928,1602700
2021-04-30,132.01393127441406,133.39013985800543,131.7645622621552,132.91909540809428,1489800
2021-05-03,133.33473205566406,134.26758981665944,132.15249117489694,133.86119187137894,1548600
2021-05-04,133.6210479736328,134.008969423773,130.44377046571597,132.25408465979265,3727600
2021-05-05,134.369140625,135.31124333017942,132.28175040903176,134.2121258563731,2731300
2021-05-06,135.25587463378906,135.311289972004,133.5471598739066,134.61857005747157,1901000
2021-05-07,136.2533721923828,137.010738521355,133.42707762768904,134.52618121907616,1593300
2021-05-10,136.1610107421875,137.9713248009069,136.1333030759222,136.73365463623182,1452600
2021-05-11,134.6277618408203,135.69917171075974,133.35316715471035,135.32972683518963,1636300
2021-05-12,132.7158660888672,134.93256358464325,132.35565239346812,133.94429076636123,3123300
2021-05-13,135.3808135986328,136.3000569496553,132.41877576008835,132.41877576008835,2040100
2021-05-14,137.57212829589844,138.00854208258582,135.85432814248136,136.22575166751253,1512700
2021-05-17,136.89427185058594,138.0270886928974,136.3093028813222,137.1171259430981,1466800
2021-05-18,134.01585388183594,136.88503210161377,133.9601438843042,136.77361210655027,1267400
2021-05-19,132.55801391601562,132.92943743248776,130.47809889720548,132.01946044339988,1950500
2021-05-20,133.36582946777344,133.5329593966715,131.74088904004716,133.14297539421992,2279000
2021-05-21,133.1801300048828,135.15791946099216,132.5673060081989,134.29438636618048,1790900
2021-05-24,133.37515258789062,134.2851155526038,132.44661490232514,134.2851155526038,1341000
2021-05-25,132.6044464111328,134.3315268360088,132.1216029137592,133.3751342845926,1685300
2021-05-26,132.7622528076172,133.4215204930154,131.96371020125306,132.96653213726992,1170400
2021-05-27,134.25723266601562,135.01864021082392,133.77440337104025,134.1179577094569,3082300
