Price,Close,High,Low,Open,Volume
Ticker,EXPE,EXPE,EXPE,EXPE,EXPE
Date,,,,,
2021-04-12,169.96633911132812,173.4703847452282,167.82826968869065,171.45110702640855,1776700
2021-04-13,169.1942596435547,170.94629015474177,165.84859260708396,169.66939628974063,2644600
2021-04-14,169.97622680664062,173.17342272130304,169.53079946682595,170.1741928350205,2408800
2021-04-15,168.81809997558594,170.75818808754136,167.48180292913096,170.21378531675643,1969500
2021-04-16,172.14398193359375,172.99524940765392,169.24372765072957,170.35236454261386,2454300
2021-04-19,173.83660888671875,176.07366870126302,170.31276239749647,170.75818971594956,2324000
2021-04-20,168.72903442382812,173.16353708461588,165.05670175997048,172.31226953285463,2839400
2021-04-21,174.47012329101562,174.96504593009539,166.81862351991776,168.7587269108002,2163900
2021-04-22,173.86630249023438,178.26121757340744,173.11402557928653,174.6680897855476,1977600
2021-04-23,175.7569122314453,176.85564101345057,173.29220733677562,174.86605758823637,1559700
2021-04-26,174.8858642578125,179.676727095669,174.5493204732222,177.50896342366752,1715700
2021-04-27,175.2817840576172,177.75639697614494,174.2424436110678,175.2322887784789,1903300
2021-04-28,175.79652404785156,177.83560286486897,174.41073162288515,174.95514953612766,1795100
2021-04-29,176.06378173828125,178.80565749601854,173.32192108438483,177.21200593116254,1465500
2021-04-30,174.44041442871094,176.6378719691992,172.89625834163033,175.67772092205618,1029900
2021-05-03,173.0447540283203,177.80590726897898,172.69830214893705,176.43991598938084,1970100
2021-05-04,171.68865966796875,173.7772337992093,168.7092308321134,173.67825833416336,2134400
2021-05-05,169.18434143066406,174.44041707759408,168.27368565019432,172.3221489329746,1967500
2021-05-06,163.14630126953125,169.18434822906994,160.9686296375981,168.31327957629668,3719400
2021-05-07,171.69854736328125,178.22162331479802,170.263259804363,173.65843654260516,6284500
2021-05-10,171.3323211669922,175.6282461895769,168.99628563009307,171.79754967122756,4584300
2021-05-11,170.64932250976562,171.6193817718874,166.11584435819307,168.2736998475714,3895200
2021-05-12,160.34503173828125,170.2434838835309,159.99857987166178,169.4714058245086,4637200
2021-05-13,166.01686096191406,167.33335707125252,162.03767848212604,163.0770191056923,3282900
2021-05-14,170.055419921875,171.29272650584696,166.5414662026266,168.263802404898,2460500
