Price,Close,High,Low,Open,Volume
Ticker,FOXA,FOXA,FOXA,FOXA,FOXA
Date,,,,,
2021-04-12,35.08407974243164,35.937277032907346,34.93406777877414,35.402855612274735,2782400
2021-04-13,35.13096237182617,35.71225830022293,35.01563953150091,35.196592384230605,2546100
2021-04-14,34.905941009521484,35.585685501501715,34.75592904863055,34.85906294234943,3000000
2021-04-15,35.520057678222656,36.106042554359526,35.26691535911123,35.44974235434051,3808400
2021-04-16,35.57631301879883,36.15292370258297,35.412237971077424,35.74976582728591,3322700
2021-04-19,35.327857971191406,35.927905937115746,35.17784597971032,35.430991885941154,3580200
2021-04-20,35.440364837646484,35.881026612039506,35.07752202701591,35.40286094693902,4073600
2021-04-21,36.19980239868164,36.37794051404448,35.093462662797386,35.24347464851553,4948200
2021-04-22,35.740386962890625,36.443568782755456,35.54349691170472,36.124792881354026,3604700
2021-04-23,36.01228332519531,36.284181142847615,35.759137451163944,36.05916139596389,1831200
2021-04-26,35.81539535522461,36.15292320680445,35.35598165133699,36.124793501460964,2495000
2021-04-27,35.89039993286133,36.17167552983157,35.505994003778824,35.68413569206901,4268000
2021-04-28,35.45911407470703,35.89039805519868,35.234097900784256,35.56224797799147,2630800
2021-04-29,35.412235260009766,35.87164535845847,35.163778267257456,35.65600337273821,2539000
2021-04-30,35.08407974243164,35.46848919940676,34.89656747028527,35.43098531435056,3920900
2021-05-03,34.324649810791016,35.49661953349452,34.31527205013144,35.49661953349452,4174800
2021-05-04,34.446529388427734,34.81218330305092,33.97774158474322,34.60591552492826,4091400
2021-05-05,34.07150650024414,34.69030641760354,33.9636837039049,34.65280252526223,2994400
2021-05-06,35.2247200012207,36.01228375997068,34.28245538815594,34.29652202846712,3942700
2021-05-07,35.92790222167969,36.040410309513625,35.01845260555563,35.149716214024124,2264300
2021-05-10,36.406063079833984,36.99673314592998,35.73100748821895,35.92789751025095,3063900
2021-05-11,36.10135269165039,36.602955539219124,35.641939033083354,36.18104576636519,2442400
2021-05-12,35.56693649291992,36.3310594228952,35.52474372538788,35.909149630412585,2517300
2021-05-13,36.321685791015625,36.71546588560227,35.48724037695644,35.56224815301158,2193500
2021-05-14,34.9340705871582,36.246678057108575,34.82156249951228,36.00290993778114,4678000
2021-05-17,34.47465515136719,35.834140483138576,34.42777708680274,35.393478807785215,4072300
2021-05-18,35.01844787597656,35.36535342951035,34.596541709439876,34.727801723612814,3562000
2021-05-19,35.01844787597656,35.262219539355286,34.50278200176839,34.61529007440703,3162900
2021-05-20,34.92469787597656,35.41223771175551,34.849690096671594,34.96220176562904,2760600
2021-05-21,35.234100341796875,35.48912035897531,34.84031664529935,34.952824740055284,3404800
2021-05-24,35.10282897949219,35.53411647126344,34.99969866838715,35.18721092608145,1937400
2021-05-25,34.83094024658203,35.56224818085415,34.643424382864985,35.35598037310863,2785500
2021-05-26,35.16846466064453,35.684134182226124,34.75593261994689,34.84968876392484,2043900
2021-05-27,35.58100509643555,35.984163007959744,35.3091072348833,35.36536307482904,4180400
2021-05-28,35.01844787597656,35.674751523408396,34.774679789164985,35.57161763325333,2292900
2021-06-01,34.990325927734375,35.38410959381481,34.84031395412458,35.280975691351664,2133700
2021-06-02,34.48403549194336,35.15909118724004,34.13244458007096,35.05595728083996,4411500
2021-06-03,34.334022521972656,34.80281039094332,33.79023045378184,34.56841645645799,2659700
2021-06-04,34.86843490600586,34.9434426699612,34.22150903644272,34.34339486458663,2259400
2021-06-07,34.83094024658203,35.24347228550545,34.63404662256694,34.95282251791564,1497500
2021-06-08,34.3058967590332,34.9200077294116,34.094943646380855,34.830940465426295,2360900
2021-06-09,35.29035186767578,35.693509740123424,34.5590439021046,34.98095371938327,3592100
2021-06-10,35.13096237182617,35.50599050319903,34.98095040396355,35.39348242144391,2338400
2021-06-11,35.562255859375,35.59038199320682,35.13097178330125,35.234105709442446,2090000
2021-06-14,35.327857971191406,35.73101586890332,35.0090820422231,35.60913000814744,2091900
2021-06-15,35.35597610473633,35.75913391125784,35.027826065273324,35.59974777110929,2640300
2021-06-16,35.31847381591797,35.49661548244184,34.92469375078228,35.299725449873996,1983300
2021-06-17,34.83094024658203,35.618504012939546,34.605920494808046,35.3184764850517,3120900
2021-06-18,35.28097152709961,35.623184624989115,34.69967206847645,35.0465776224646,5734600
2021-06-21,35.14971160888672,35.655999726091956,35.07470384244615,35.40285387920576,2296700
2021-06-22,35.29972839355469,35.421610665841136,34.521538804843914,35.187216728504296,2636800
2021-06-23,35.252845764160156,35.599751356897066,35.11221155161084,35.28097546792406,2254600
2021-06-24,35.909149169921875,35.993531127336304,35.26222321412293,35.37473129848633,2110200
2021-06-25,35.96540451049805,36.43419236162223,35.67475475523677,35.98415645373111,3944000
2021-06-28,35.91852569580078,36.38731353720298,35.68413177509968,36.24667575415536,2362900
2021-06-29,34.530914306640625,35.487238361044795,34.52153654688264,35.196592186760796,3086300
2021-06-30,34.812191009521484,34.84969132392679,34.259021135654336,34.690305152142514,2282800
