Price,Close,High,Low,Open,Volume
Ticker,HSY,HSY,HSY,HSY,HSY
Date,,,,,
2021-04-12,141.52484130859375,142.13668543635353,140.96618631076217,141.48936384772583,942700
2021-04-13,140.83316040039062,141.5691484791686,140.26562934960813,140.5937349296774,1136700
2021-04-14,140.27452087402344,141.0282477635308,139.10400824934874,140.86863978599507,889300
2021-04-15,142.67759704589844,143.07664404885762,141.5070979585192,142.76627716448633,1079600
2021-04-16,142.7574462890625,143.23628385606185,141.98596697182828,143.04119837636486,1260700
2021-04-19,142.74855041503906,143.30720544151882,141.45390717139352,142.77515174671072,772000
2021-04-20,143.821533203125,144.7082804195885,142.12784277231444,142.45593491258552,836500
2021-04-21,144.48660278320312,145.4176901257054,144.35358257388017,144.35358257388017,929800
2021-04-22,143.86587524414062,144.90336787795624,143.27175622464054,144.53093566561387,825900
2021-04-23,143.1475830078125,144.17621292818095,142.89929489333562,143.8392582189266,682500
2021-04-26,141.01937866210938,143.33378894447566,140.82429323365812,143.33378894447566,762000
2021-04-27,140.7356719970703,141.39185634903617,140.05287277748,141.0726267751346,1063100
2021-04-28,140.86868286132812,142.72198155308493,140.54945327795497,141.22337638476913,1320900
2021-04-29,145.62161254882812,146.75664777545217,141.44502767676153,141.89727736580002,1609000
2021-04-30,145.6925506591797,146.3044083206666,144.6816595104104,145.3555824326943,1191000
2021-05-03,147.856201171875,148.79615083663353,145.66593497689138,146.04722969608434,1125400
2021-05-04,148.0069580078125,148.91143028510376,146.9871907498971,147.98921927766366,1261000
2021-05-05,149.29275512695312,149.78933138071733,147.7054836350505,147.8384902992059,960300
2021-05-06,149.53216552734375,151.447528950875,148.90256914242227,150.10854572129801,951100
2021-05-07,149.40802001953125,149.9755376081336,148.44145542134297,149.53216406920404,780900
2021-05-10,151.0218963623047,151.75789807862753,149.6651743824225,149.73611577407027,1385200
2021-05-11,149.789306640625,152.66237188804152,149.33707052650263,152.3697437445438,986700
2021-05-12,148.6188201904297,150.3213730081199,148.47693740628375,149.9046007863706,1071400
2021-05-13,152.1658172607422,152.99934822094087,148.17545506191874,148.31732432344307,1462700
2021-05-14,151.73129272460938,153.97476174456784,151.73129272460938,152.5648371410088,840300
2021-05-17,152.95501708984375,154.14325499485392,151.3766082833228,151.83770704811974,1123000
2021-05-18,153.22103881835938,154.4979569186331,152.80428009324459,152.80428009324459,1372400
2021-05-19,152.76878356933594,153.47818392883656,151.7401537245944,152.68010345039096,998800
2021-05-20,154.20669555664062,155.15997013737996,152.76343425255166,152.8881603702615,1006600
2021-05-21,154.80361938476562,155.67671591167914,154.35816696683673,154.64326303949312,904500
2021-05-24,155.10653686523438,155.98852394967486,154.79471473602823,155.02634509872522,725500
2021-05-25,155.6588897705078,155.68561582732556,153.48507985514007,155.08871123484812,766600
2021-05-26,155.2847137451172,156.11324870733898,154.82143942967522,155.35598776242585,814800
2021-05-27,154.5274200439453,155.82814690880687,154.1354197944219,155.28469448908163,1026000
2021-05-28,154.1710662841797,155.21342318724712,154.14434022980313,154.5897925949154,871100
2021-06-01,153.81472778320312,155.55200323876016,153.11982303863238,154.71455044552613,752200
2021-06-02,154.6076202392578,155.2134426005298,153.88598949257855,154.3670857197841,767800
2021-06-03,155.49853515625,155.5787269287329,153.82364318942524,154.35817797257488,758100
2021-06-04,155.81924438476562,156.3983406623666,155.21343564477152,155.78361417411298,599100
2021-06-07,155.00852966308594,156.26469508834234,153.95725493951736,156.26469508834234,648600
2021-06-08,154.6432647705078,155.27579959833497,154.1978123475927,155.27579959833497,552600
2021-06-09,154.00180053710938,154.6521572189818,153.71670448284152,154.2245267317081,553900
2021-06-10,155.35598754882812,155.60543981200112,153.9394385472252,153.9394385472252,580100
2021-06-11,155.7301788330078,155.97963111682736,154.48290381978012,155.97963111682736,443500
2021-06-14,155.6143798828125,155.6143798828125,154.08202214443023,155.3827494690131,618500
2021-06-15,155.7747039794922,155.97070411580256,154.89270336609556,155.73906017609326,434400
2021-06-16,153.83251953125,156.14887728848527,153.71669756515,156.03305532238528,667200
2021-06-17,154.58090209960938,154.8036283214316,152.82581838411988,153.83254525687784,502500
2021-06-18,151.89035034179688,153.7077899860114,151.78343253157684,153.7077899860114,1333200
2021-06-21,153.44943237304688,153.5296105344759,152.5050619599723,152.73670588515893,856900
2021-06-22,153.47618103027344,154.6254422957299,153.3158110896696,153.98398972157264,615100
2021-06-23,151.78346252441406,153.03073753318023,151.74783231005154,152.90601139171662,803600
2021-06-24,153.58311462402344,154.67892398349045,150.99949552436775,151.54294812598064,1959600
2021-06-25,156.0152587890625,156.2023547959434,153.2089138447567,153.72564030828573,1778500
2021-06-28,155.49853515625,156.67453614861307,154.89272634985443,156.0419876886366,762200
2021-06-29,153.23562622070312,155.8014364052174,152.8079957213269,155.1777921673885,998800
2021-06-30,155.17779541015625,155.3737955585763,153.1465335030111,153.2356294228852,1235400
2021-07-01,154.75013732910156,156.3181382370819,154.51850701048008,155.20450740772148,875400
2021-07-02,155.0174560546875,155.8281827943464,154.70563389508632,155.31145630953515,661100
2021-07-06,155.99740600585938,156.28248841824933,154.12650084694556,155.11540552909273,879200
2021-07-07,157.3070526123047,158.9017660764115,155.8548735715683,155.9795996883469,1338800
2021-07-08,156.61215209960938,158.13560532102005,155.89943911994436,156.7190699218621,976400
2021-07-09,157.46742248535156,157.87724467238763,156.88833980636653,157.28924424521222,779400
2021-07-12,157.52980041503906,157.57433478175875,156.20234730886955,157.15560841921297,794100
2021-07-13,156.73690795898438,157.77036100729538,156.15782515463889,157.1556343907288,755600
2021-07-14,158.19798278808594,158.58996950809302,156.35380319952483,156.82598168860844,669800
2021-07-15,159.90850830078125,160.05104273800566,157.86832868516223,157.86832868516223,565500
2021-07-16,160.35394287109375,160.87957338486058,159.66794244135662,160.2113948555928,852600
2021-07-19,159.85504150390625,161.4853989168058,158.63450627982095,160.02431559071806,1037800
2021-07-20,160.61228942871094,162.35846852645568,160.19356315512232,160.61228942871094,824400
