Price,Close,High,Low,Open,Volume
Ticker,JBHT,JBHT,JBHT,JBHT,JBHT
Date,,,,,
2021-04-12,163.7853546142578,164.11005677617598,161.26411125440362,161.32140992151886,518800
2021-04-13,162.74435424804688,163.67072135614316,160.90116495014598,163.67072135614316,660300
2021-04-14,161.56967163085938,162.73479283402673,160.34725177383035,162.73479283402673,696700
2021-04-15,162.13320922851562,163.85224241493322,160.71977384612774,162.5820682986469,940000
2021-04-16,164.41566467285156,170.37495905083298,163.0786326624194,167.12790837423526,1386100
2021-04-19,159.42091369628906,164.55890765627382,158.75240499222335,163.93815269658356,944100
2021-04-20,160.796142578125,161.08265047670128,157.76874166152254,159.82203612432158,916200
2021-04-21,159.2776641845703,162.87808077455995,158.73331231114503,161.42645149143155,666900
2021-04-22,161.96124267578125,163.0977146278967,158.81924484263433,159.06754388341105,655200
2021-04-23,161.5887908935547,162.91626326215513,161.46464865624083,161.9803511607954,515100
2021-04-26,160.21359252929688,163.2314487267805,159.2776802658639,162.2668871288219,593600
2021-04-27,162.009033203125,162.6966463963039,160.5669632250851,160.8534565785776,566500
2021-04-28,161.32138061523438,162.9926594403401,160.80567813248405,161.71294086591962,368600
2021-04-29,164.28199768066406,165.88641894569952,161.83715694971465,162.26691160482056,518100
2021-04-30,163.03086853027344,164.65439362001985,162.3909946696065,163.27916756721044,600400
2021-05-03,166.2683868408203,167.34754563086386,164.07184586587422,164.07184586587422,594700
2021-05-04,168.6273193359375,169.69693346317644,165.03644692752184,165.4853059785738,625500
2021-05-05,165.8386688232422,169.58234766847286,165.2656674613481,169.58234766847286,679800
2021-05-06,167.32150268554688,167.41717548201285,163.54266078704813,165.36034173656725,540600
2021-05-07,170.5454864501953,171.11947942729293,166.43180442504348,167.9624815592085,480100
2021-05-10,172.65013122558594,175.8358421427701,172.30572965081964,173.76943269417225,576200
2021-05-11,168.7947540283203,172.41096325156974,167.91461991766022,172.23875516599668,553600
2021-05-12,165.676025390625,170.10541007110396,165.3698987258885,168.39297800236267,453400
2021-05-13,168.36424255371094,168.91911252312565,166.30739471228497,166.4700267485179,426400
2021-05-14,168.84259033203125,170.02885106432188,168.46948984403392,170.02885106432188,411200
2021-05-17,168.4407958984375,170.02885608021833,166.89098147382205,168.8043203605328,397300
2021-05-18,165.91517639160156,169.92362373926866,165.88647747579247,168.6321287350073,622400
2021-05-19,163.85836791992188,165.39860655982412,160.65351892087926,164.82459896077722,564800
2021-05-20,162.4615936279297,165.18809247665075,162.20328881990665,163.94441942046885,431500
2021-05-21,163.29385375976562,164.99672361858376,162.3754449853769,162.62418829803022,292700
2021-05-24,163.67652893066406,164.54710140080485,162.80595646052328,164.14530209095835,315900
2021-05-25,160.40472412109375,164.55666497436707,160.27079101607248,163.4278023174182,602300
2021-05-26,162.09805297851562,162.413755607898,159.9551084325331,160.70130933921314,514200
