Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,
2021-04-12,140.3653564453125,140.7474468917243,139.23645646740476,139.88774338729772,5022800
2021-04-13,138.48963928222656,138.88040876247305,135.92791352231558,136.21448134128715,18424100
2021-04-14,138.87173461914062,139.03672942230514,136.80497992765402,137.05681828526284,7718300
2021-04-15,139.27987670898438,141.01664180953932,139.1409323208281,139.5664445406319,7524600
2021-04-16,140.88638305664062,141.12083679377923,139.42749355100608,140.10483084811534,9049400
2021-04-19,141.2771453857422,141.64186443107627,139.6706325249103,141.11215059727715,8353500
2021-04-20,144.5683135986328,145.70589254339788,139.80958125126656,139.80958125126656,14050700
2021-04-21,144.66384887695312,144.94173765904063,143.53494888803885,144.47280365188456,6333200
2021-04-22,143.43939208984375,144.3946179875292,142.95310008755416,144.01252762845502,7233000
2021-04-23,143.73464965820312,144.20357029496387,142.4147047818031,142.87494636526822,6015300
2021-04-26,142.5189208984375,143.63914165911174,142.20630269202428,143.46546782231871,6027800
2021-04-27,141.70266723632812,142.33659607881833,141.08612300654949,142.20633073768457,6217700
2021-04-28,140.66061401367188,141.72004187716055,140.37404615710847,141.42479496450758,7448000
2021-04-29,142.58840942382812,142.64051025579033,140.512975697716,140.5911269456593,6394300
2021-04-30,141.3118438720703,142.70126081197438,141.12949101461584,142.54494511226574,9079100
2021-05-03,143.46546936035156,143.56099195918145,141.65053998258367,142.06737309591293,6594100
2021-05-04,145.6885528564453,145.75802505466552,142.99656148989638,143.13550588633683,10179500
2021-05-05,145.08067321777344,146.23561030292268,144.83751392301684,145.45407133919682,7792300
2021-05-06,145.66249084472656,145.79274292448048,144.3599170453237,144.83751683806537,5529900
2021-05-07,146.32244873046875,146.91294246007763,145.7406340555429,146.14877488355233,5316200
2021-05-10,147.85948181152344,148.9536389160714,146.95635665340316,147.53817129831504,8357500
2021-05-11,146.6524200439453,148.38049249359628,146.13138531764506,148.18944731065042,8217900
2021-05-12,146.0619354248047,147.4513527399721,145.84483979746386,146.35718229787645,6758300
2021-05-13,147.5902862548828,148.23288078420106,144.9938179728905,144.9938179728905,8018600
2021-05-14,147.81607055664062,149.02312170445234,147.77264878144572,148.9102277390387,5797700
2021-05-17,147.96368408203125,149.2662577478454,147.8942118964654,147.9723631363028,5722600
2021-05-18,148.01577758789062,148.8146878066877,147.2168673690936,147.6076367994179,5846000
2021-05-19,147.69448852539062,147.7639607113708,145.92298090905751,147.54686509910698,5533800
2021-05-20,148.55418395996094,149.00573326893928,147.35581200432972,147.57290760496065,4853200
2021-05-21,148.4586639404297,150.00438358369274,148.38049945249435,148.77996119478738,6501800
2021-05-24,149.0266571044922,149.72570007337845,148.34509387644042,149.33247923684917,5195100
2021-05-25,148.61593627929688,149.44604378403298,148.31884741791893,149.13147518577026,7444700
2021-05-26,147.73341369628906,148.61594714305966,147.0431040367719,148.54604152354315,5726400
2021-05-27,147.50624084472656,148.69460990154064,147.13051307911692,147.89944835131257,8114700
2021-05-28,147.89068603515625,149.42856960995135,147.8207804181474,148.12661582591946,6400800
2021-06-01,144.64015197753906,148.72079747909368,144.5090872754114,148.6771048006733,10448400
2021-06-02,145.2255859375,145.68869896206593,144.27314694985554,144.439171115857,6806000
2021-06-03,145.08578491210938,146.05570370467552,144.7974425681952,144.9547202103302,5808800
2021-06-04,145.02464294433594,146.42272881626738,144.93725757741458,145.93338942789686,6510300
2021-06-07,144.03724670410156,145.33048082384488,143.8537560968897,145.0508583115322,5362800
2021-06-08,142.7702178955078,144.75374813489597,141.61680853443477,144.42169978356992,7746800
2021-06-09,144.69256591796875,144.85859008238535,143.00613800180497,143.29449365582346,5552600
2021-06-10,145.99452209472656,146.4314221440884,145.00712371656675,145.05081638812922,6463100
2021-06-11,144.14207458496094,145.99452658462315,143.49545769209215,145.98579338329463,7389900
2021-06-14,144.50035095214844,144.57900311211714,143.21586344798445,143.74014895981506,4931300
2021-06-15,143.73138427734375,144.92848615630712,143.64399893346592,144.3779878227662,5062900
2021-06-16,143.67897033691406,144.83239307989803,142.8488627566274,144.00228549961136,6988500
2021-06-17,144.3693084716797,144.78872894584862,142.8663706616766,143.46929509318366,5874700
2021-06-18,141.53817749023438,143.46928213755203,141.37215328981046,142.66538741251512,12993000
2021-06-21,143.16343688964844,143.53043141294887,141.77409762291083,142.22847750881658,6592300
2021-06-22,142.97117614746094,143.3381706101541,142.67408729668057,143.04982829407047,5627800
2021-06-23,142.10614013671875,143.032366276321,141.97506209822004,143.032366276321,4493400
