Price,Close,High,Low,Open,Volume
Ticker,KMB,KMB,KMB,KMB,KMB
Date,,,,,
2021-04-12,113.88397979736328,114.53128263194019,113.34456498952049,113.66821640680895,1716700
2021-04-13,113.86739349365234,114.34041665250903,113.38606346309949,114.05826159895142,1616900
2021-04-14,113.08727264404297,113.65988944722694,112.11631867195676,113.58519093944317,1603900
2021-04-15,115.29474639892578,115.5022155425181,113.33624983980943,113.61009796598907,2318000
2021-04-16,115.53543853759766,116.016768557106,114.66406544474486,115.90058632225322,3629100
2021-04-19,115.29474639892578,116.02504183650245,114.29889704226497,115.1121852024432,1840600
2021-04-20,118.16614532470703,118.57278947502184,115.05410763338679,115.35286375827009,2518300
2021-04-21,117.40266418457031,118.97942493566194,116.94622944201825,118.60598293281542,2131900
2021-04-22,116.45658874511719,117.90887284434574,116.1827279382846,116.69724739559359,2282700
2021-04-23,109.63502502441406,112.39020942750702,109.14540074941515,111.61013586901224,8340700
2021-04-26,108.31550598144531,109.54371990139073,107.26155907011176,109.36944022986589,4150700
2021-04-27,107.42752838134766,108.02504057443497,107.07898171253215,107.95864892376831,3671100
2021-04-28,107.58522033691406,108.25741847193372,106.75534359483268,107.74289894397579,3156000
2021-04-29,110.06653594970703,110.19101237277752,107.88395647051786,107.93374703974605,3110300
2021-04-30,110.6391830444336,111.06241566139751,109.66821602760211,110.03336385223697,3209000
2021-05-03,111.81756591796875,112.69723299566496,110.3735762267306,110.62254171320761,2006300
2021-05-04,111.80097198486328,112.83831769236616,111.43582426975642,112.282301912694,2046300
2021-05-05,112.50637817382812,112.88811432346174,111.15367524645924,111.6266983297726,1991300
2021-05-06,112.97111511230469,114.15783267192356,112.25742066975829,112.81343651897619,2488100
2021-05-07,112.44829559326172,113.06240892489235,112.11634997032907,112.58107890760031,1509700
2021-05-10,113.61009216308594,114.33209335668917,112.84660727321238,112.92130578490303,2826000
2021-05-11,111.37773132324219,114.43996499027382,111.07897527488416,113.85905396927502,2254400
2021-05-12,110.35697937011719,111.77607383325473,110.31548301029939,111.39432505100653,2729000
2021-05-13,110.99600982666016,111.79269703896716,109.90056649260224,110.34870700668544,2198200
2021-05-14,111.35282897949219,112.73873395611041,111.30303841274636,111.67649298916236,2139300
2021-05-17,110.89640808105469,112.29059461505955,110.82170956730269,111.21175256113028,1542200
2021-05-18,110.32381439208984,110.74704696527978,109.31136376955959,110.29061223169418,2254600
2021-05-19,110.02503967285156,110.15782296617071,108.92130229009585,110.1163266041445,1826700
2021-05-20,110.1080322265625,111.05410380161635,109.72629604359894,109.92547100617553,2092200
2021-05-21,109.83416748046875,110.97109431242453,109.72627947583248,110.22421047563384,2329900
2021-05-24,109.64331817626953,110.33211743612794,109.34456202335402,109.74291200251801,1602700
2021-05-25,109.626708984375,109.80928285783364,108.46487409300978,109.64329739984392,2172800
2021-05-26,108.73873901367188,109.73458848469184,108.49808035114965,109.65990262352078,2539800
2021-05-27,110.25741577148438,110.37359799970437,108.10803821795771,108.44827803158641,6780100
2021-05-28,108.40678405761719,109.69308265429139,108.31549712531334,109.30305230307893,4278200
2021-06-01,107.89225006103516,109.41092572837336,107.5354092083316,109.12877072908519,2693500
2021-06-02,108.49806213378906,108.73042654924815,107.91713843223042,108.11631335815717,3056500
2021-06-03,108.49809265136719,109.57804484648274,107.76137315435741,109.05899944139013,3778700
2021-06-04,109.31013488769531,109.59477181402912,108.3892356856756,108.76596253221138,2423600
2021-06-07,109.73711395263672,109.87106527897531,108.6153003367295,109.38550130172408,2515100
2021-06-08,108.59854125976562,110.02173881594703,108.47296988909969,109.84593889701472,2484200
2021-06-09,108.2469253540039,110.03010263470493,108.10460688014606,108.5985379554703,1938800
2021-06-10,108.53994750976562,109.37712415935673,108.33903328941697,108.472984619184,1576800
2021-06-11,108.61529541015625,108.77434823187974,107.89532303161977,108.77434823187974,1508500
2021-06-14,108.43111419677734,109.00038813939939,107.76973754510078,108.83295537829295,1549300
2021-06-15,108.17994689941406,108.83294353870232,108.09622414081836,108.71573934124801,1880400
2021-06-16,107.90369415283203,108.95853209637843,107.66928572093283,108.49809517434167,2096200
2021-06-17,108.89990997314453,109.20966115999147,107.5771696999492,107.8283251801784,2369100
2021-06-18,107.73623657226562,108.61527437659925,107.61903238330771,108.46457597691133,3144800
2021-06-21,108.3808822631836,108.53156791118606,107.9120526626971,108.11297963433417,1462700
2021-06-22,108.9417953491211,109.16782383425364,108.06275736181321,108.48971283025365,2279600
2021-06-23,109.08409118652344,109.56965504796086,108.83293570311807,109.01711553932877,2638600
2021-06-24,109.72872161865234,109.80406443207472,109.0003694326734,109.05059797495498,1957300
2021-06-25,111.40308380126953,111.53702233378121,109.59477948221488,109.8794164284643,4882200
2021-06-28,110.48216247558594,111.93885390413769,110.17241131794276,111.20213463807053,2873700
2021-06-29,110.95938873291016,111.461699837894,110.50731895786633,110.74172740037825,1890700
2021-06-30,111.99746704101562,112.20676115834064,111.04308637698554,111.04308637698554,1987700
2021-07-01,111.7798080444336,112.45791895455093,111.49515833058112,112.13978780193315,1594600
2021-07-02,112.47469329833984,113.0272202047154,111.68774516664124,111.8216965027394,1896300
2021-07-06,112.71743774414062,113.12765880712627,111.8216655771135,112.75929912188185,2376600
2021-07-07,113.62159729003906,113.99832416577622,112.6421023034025,112.85139643151201,2464800
