Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2021-04-12,368.9533996582031,370.02187847941667,365.3982953855728,367.24383354426146,2896600
2021-04-13,367.2923583984375,369.20589708898416,366.0004611479394,368.19569640063287,2652800
2021-04-14,367.4769592285156,370.0315854137066,364.83491609484327,366.1947846982969,2317400
2021-04-15,375.4127502441406,376.26753319229556,370.0509703551367,370.24524998623,2942200
2021-04-16,375.1019592285156,377.94797511528884,372.67361195797656,377.8508352958851,2725500
2021-04-19,371.2069091796875,376.62696766018263,370.3909879913825,373.8683685065095,3360900
2021-04-20,365.83538818359375,370.38124728946485,362.8533705359783,369.29335242408496,3135900
2021-04-21,372.1200256347656,373.09136476216366,365.8743221598966,367.7392766844669,2466300
2021-04-22,372.3724365234375,378.33647111831453,371.0417070803411,372.1004628390303,3713700
2021-04-23,375.96636962890625,378.7055519848741,372.4695442428735,373.3340499484494,2294800
2021-04-26,376.36468505859375,381.67791003140246,376.0052944081827,376.7143528342659,2255000
2021-04-27,377.9188232421875,379.2398298837013,375.0728074524976,377.0931792697864,2270000
2021-04-28,384.31024169921875,389.9925803679063,379.5021317817998,379.5021317817998,4065300
2021-04-29,377.8022766113281,381.14368479521585,372.80958044202805,380.2791789465359,4637100
2021-04-30,371.1097412109375,373.96547997490603,364.8445933905571,371.88680048099366,4043200
2021-05-03,368.52593994140625,375.7818420645206,366.04903782395576,374.4219736540986,3344100
2021-05-04,365.13604736328125,367.37011520805,360.93013288960805,366.26280416140645,3321200
2021-05-05,358.5600891113281,368.7591485095745,357.48188741776994,367.0981374932481,2993900
2021-05-06,364.71832275390625,364.961157466862,355.21862996879474,360.50271569414406,3787300
2021-05-07,364.6405944824219,367.7877524801211,362.8533345745836,366.4473001385152,2935900
2021-05-10,355.84033203125,365.223470495273,354.936993859484,365.01949760166127,3193700
2021-05-11,357.0738525390625,358.35602690706236,348.97289026600487,350.6630399848805,3073100
2021-05-12,346.39892578125,354.9078653084591,345.4470324878017,354.2959169667194,3293200
2021-05-13,349.701416015625,352.4405987958797,347.6616280638158,349.0311898110327,2626000
2021-05-14,353.4799499511719,354.25700923004433,351.129296721779,352.6251669586654,2959700
2021-05-17,352.8873291015625,353.62555598098464,347.7975239255144,351.9159904256508,2511600
2021-05-18,352.66400146484375,359.23995477211463,352.47944471291527,356.4813560102741,3421200
2021-05-19,350.6339416503906,350.7990526703566,345.1847147761842,347.088530800837,3577900
2021-05-20,357.16131591796875,358.8222970929172,352.1006190402441,352.5377333908195,4087500
2021-05-21,357.0642395019531,361.85293388797095,356.92823780681334,358.5601099339144,2708700
2021-05-24,361.7071838378906,363.028190511515,359.0457247412053,359.473086585152,2351500
2021-05-25,356.695068359375,363.0379101251427,356.3065387319703,362.43568475622885,3916300
2021-05-26,352.2560729980469,359.3080034351297,351.6732636850551,358.4240814116263,3101900
2021-05-27,351.62469482421875,355.8985802139418,350.20654827770545,354.1015972537992,5416300
2021-05-28,350.24542236328125,354.9370065849561,350.0900342007108,353.08174543829557,3624300
2021-06-01,349.47796630859375,354.9271622982602,349.2351316286356,354.0335472760412,3119700
2021-06-02,356.3357238769531,360.53191553953377,352.47950679848736,353.1108712301783,3531000
2021-06-03,351.44976806640625,356.1801826918374,351.36235114241583,352.9456082896705,2605900
2021-06-04,355.5294189453125,356.1219510310257,353.2759354449872,353.86843788779254,2295200
2021-06-07,353.64508056640625,360.7067338779594,352.86802124446956,357.25846273494676,2133400
2021-06-08,354.791259765625,357.14188332788285,352.81944296396756,354.538702163284,3224200
2021-06-09,352.9165954589844,358.73493638496103,352.9165954589844,356.423144759001,2520900
2021-06-10,353.85882568359375,355.1604461759066,351.58589572483555,354.23766216484535,2460200
2021-06-11,355.0244140625,356.33572767640266,353.3731258608574,355.06327592356257,2708300
2021-06-14,356.01507568359375,356.12193836271774,351.7217749157037,355.5099901941087,2515300
2021-06-15,357.5692443847656,358.18119258886753,352.3434367507054,356.8116012851414,3562500
2021-06-16,353.392578125,358.7932208385525,350.94478476249765,358.7932208385525,3081000
2021-06-17,356.7630615234375,358.56973759132467,350.8767503482615,353.08167890961954,3824900
2021-06-18,356.8893127441406,359.76446727444534,351.624643437637,351.741199350055,5009400
2021-06-21,362.3968811035156,365.6605957122882,355.7043704911035,358.0549943823165,3094600
2021-06-22,367.2049560546875,367.9043212293558,361.35747706448865,363.27101583108725,3582700
2021-06-23,364.3880615234375,367.8654414786799,363.5624175925084,367.166076338034,2241800
2021-06-24,364.00921630859375,369.1670229794524,362.2122335950332,368.1374062200321,2788200
2021-06-25,368.7299499511719,368.7688118076455,362.6299427729123,364.68920616525526,3983900
2021-06-28,357.141845703125,370.0023916743327,354.6552207268297,370.0023916743327,4800300
2021-06-29,357.4527282714844,360.745581491496,357.36531132443696,358.4337900820917,3394300
2021-06-30,354.62615966796875,359.56057849535193,353.8296545563409,357.4042046827221,2884900
2021-07-01,360.08514404296875,360.5708136396117,355.1216149938797,355.55869984510645,3108500
2021-07-02,364.28125,364.7280576228317,361.48378904452466,362.00832038440444,2786500
2021-07-06,365.3399963378906,367.3992301420076,360.85241519063345,365.85480478891986,2740500
2021-07-07,363.20306396484375,367.3118086471028,361.77519455903933,365.9908019373877,3176600
2021-07-08,360.0036315917969,360.3926190155502,355.58854865370927,357.3876488761363,2809000
2021-07-09,362.67791748046875,363.20306676242245,359.71185534218006,361.617914264671,2404800
2021-07-12,365.2257995605469,365.7217755048566,361.84154723542304,364.68121132586026,2648300
2021-07-13,373.1515197753906,376.00091810206203,365.2160533145301,365.2160533145301,5161000
2021-07-14,380.04644775390625,380.85362548272764,372.44165118350276,372.44165118350276,4140500
2021-07-15,379.4920959472656,382.47759654963306,376.7885940796884,379.4045760284173,3773000
2021-07-16,376.4677429199219,382.63328368648376,374.7269894449945,382.3318162276429,2706500
2021-07-19,355.3940734863281,368.182224371775,353.37129137717886,367.59872839114206,6814400
2021-07-20,364.0879821777344,366.2371616377288,355.21891088615877,356.9013174261649,3542200
2021-07-21,369.60198974609375,370.418872132712,364.7298390595778,365.68288334954957,2393100
2021-07-22,371.64422607421875,372.32494658591554,366.67482091743824,369.83539168142937,4180300
2021-07-23,382.4387512207031,383.64462088704136,374.49355044979006,374.49355044979006,3720300
2021-07-26,381.9914245605469,382.0789741731689,377.58607644258,380.8925433718838,2285800
2021-07-27,379.5310363769531,384.40318707296706,375.2715845693901,379.26847657718923,2783800
2021-07-28,372.8889465332031,380.9508402672549,371.8094747894008,380.84385168681314,3372600
2021-07-29,378.1112060546875,383.87802454344614,376.83725538490324,376.83725538490324,3774000
2021-07-30,375.3201599121094,378.2959560611402,372.5388425918868,378.2959560611402,2533300
2021-08-02,364.9340515136719,379.24900526297347,363.51420468769857,378.58769413837246,3430300
2021-08-03,357.4848937988281,366.3053251133474,349.67585350187744,366.29559078271086,6328500
2021-08-04,357.883544921875,359.0991488980746,353.4295553334941,357.17362151575514,3203200
2021-08-05,361.7054443359375,361.72488331809745,356.90137441508796,358.06836625706165,2562400
2021-08-06,364.2240905761719,365.1674003607549,360.7912264549669,361.19968241108506,2038500
2021-08-09,360.48004150390625,364.1949342037775,358.7393180595947,363.89346680603285,2400800
2021-08-10,357.71820068359375,362.49309654278744,354.09082782625586,362.0457626006426,3225000
2021-08-11,354.21728515625,359.77989046541484,353.74077786647734,358.4086855383244,3267700
2021-08-12,352.0195617675781,353.22543172075973,348.0032004635819,352.5933234284577,3802900
2021-08-13,352.76837158203125,353.4977341697267,350.7067114159331,352.2918641883123,2304600
2021-08-16,353.5560607910156,353.79918163982,346.80702365397974,350.5802639758774,2937300
2021-08-17,353.2350158691406,354.4311509825853,349.88967192666075,352.0388510778696,2812800
2021-08-18,351.0178527832031,355.6176797168418,350.6677433689357,351.2415049444237,2774500
2021-08-19,347.4779357910156,350.23007959709804,344.9592081110017,347.0792141567206,2727900
2021-08-20,345.2218322753906,348.4602182380631,343.60750645893904,347.52661291525885,4135900
2021-08-23,351.0762023925781,352.27233784673393,346.93341407587224,347.6336032325291,3537900
2021-08-24,351.8249816894531,356.0261163648633,351.5235142624422,353.04058572670147,3032000
2021-08-25,349.21875,352.42793293647594,348.6352540994132,352.00003792123454,2340400
