Price,Close,High,Low,Open,Volume
Ticker,RVTY,RVTY,RVTY,RVTY,RVTY
Date,,,,,
2021-04-12,131.09779357910156,131.84908001433303,130.73204523583354,131.65136353117742,575100
2021-04-13,133.7964630126953,134.13255688336898,131.27572881534448,132.027000129259,814000
2021-04-14,131.32516479492188,134.74544275616717,128.93292807981396,134.22152725872988,1097500
2021-04-15,133.15487670898438,134.90547212118005,132.7592504160249,132.7889205015469,719700
2021-04-16,131.70098876953125,133.86699567106876,131.15701202162901,133.7779703184297,801100
2021-04-19,133.11534118652344,133.68898814194665,130.80098336373604,131.03835920130547,1176100
2021-04-20,132.88780212402344,133.5900292099903,131.38445271892604,132.72955164104548,664500
2021-04-21,132.4724578857422,132.90763933882832,131.04823316349757,132.6405934305068,470500
2021-04-22,131.92845153808594,133.7186170398898,131.33501967278553,132.47242823267808,844400
2021-04-23,133.4911651611328,133.61974560957557,131.3350430850098,131.76033951899635,607200
2021-04-26,133.5010528564453,134.12415492951058,133.0461014154788,134.0252445684645,769200
2021-04-27,133.53074645996094,134.38132440328832,133.16480522453568,133.95604297742707,868300
2021-04-28,132.4229736328125,133.5603671060088,131.3943754990036,132.84826999281762,567600
2021-04-29,129.07012939453125,132.66036081159936,128.51626765239857,132.53178037446122,1151600
2021-04-30,128.2096710205078,130.01962183350477,127.48765864009405,128.93166830932046,1310700
2021-05-03,129.12950134277344,130.53394113208384,128.0415626791915,129.4558874693293,1054900
2021-05-04,126.40962219238281,128.38770879917476,125.36123870543958,128.24924334036345,1352700
2021-05-05,135.07366943359375,136.58690468485892,129.34709948212705,129.65370053293688,2037200
2021-05-06,135.99342346191406,136.09233380652626,133.08563439287244,134.23292798733507,1305500
2021-05-07,139.4254150390625,139.77158618062666,136.34949021736134,136.4879556556668,964000
2021-05-10,138.46603393554688,140.65182582583344,137.56600109298182,139.89025841353993,933200
2021-05-11,137.91220092773438,139.49466116150543,135.62751330678267,136.45830606138273,845100
2021-05-12,136.34947204589844,138.33744309340224,136.20112162877086,136.87366364188102,677700
2021-05-13,139.72213745117188,140.43424976434255,136.61654239880036,137.37809479881773,672400
2021-05-14,141.98703002929688,142.84749272733382,139.682557714025,140.42434006518803,763900
2021-05-17,141.6606903076172,143.24316587755007,141.58156501995998,141.92773626700952,680000
2021-05-18,140.33534240722656,141.55186134672985,139.23750382525472,140.9979995561138,722000
2021-05-19,141.06724548339844,141.28483620866746,138.7627728687602,139.21772431861177,526000
2021-05-20,146.06192016601562,147.23888421134598,141.6310100173641,141.81893067557374,1113400
2021-05-21,143.18377685546875,147.45643529063565,142.98597124958516,146.72455303970634,1636000
2021-05-24,143.02554321289062,145.2607754972007,143.01565821349,144.76625387833195,817600
2021-05-25,141.53207397460938,142.916728281178,140.64192612758663,142.20461604019982,889800
2021-05-26,142.1354217529297,143.27281553105084,140.94855769902526,143.06510979413656,756600
2021-05-27,143.31240844726562,145.05313480355946,141.7695028799014,142.08600406890295,1103400
2021-05-28,143.48049926757812,145.35967524544697,143.25300847355322,144.29150681568117,507100
2021-06-01,140.20675659179688,143.55961238813268,139.01002278822642,143.19367123868406,1051700
2021-06-02,137.64515686035156,140.30568580246313,137.2396454776766,139.91007451160186,981800
2021-06-03,137.09129333496094,137.72428044753684,135.86487420176874,137.15063351870194,464200
2021-06-04,137.4374237060547,138.6836124692712,137.35829845403478,138.24843112896104,408900
2021-06-07,136.0132293701172,137.82318029407028,135.98355928051157,137.24953340902488,467100
2021-06-08,138.18910217285156,139.03967983656673,136.85388796054986,137.02202347538193,656500
2021-06-09,139.8507080078125,141.12658223787452,138.7429844090503,138.7429844090503,490300
2021-06-10,144.50909423828125,144.6178895876835,140.14741035533848,140.78039736324214,557600
2021-06-11,145.20143127441406,145.56737243287452,143.75743663882292,144.65745449048518,677700
2021-06-14,145.53768920898438,145.65638464578484,144.0145694430482,145.13219299901718,454400
2021-06-15,146.48721313476562,147.3081209372564,145.11244346351094,147.3081209372564,512700
2021-06-16,147.21908569335938,148.51472986486573,145.87398634375552,146.7740041820834,736700
2021-06-17,148.04986572265625,149.0092387477995,146.00253923860825,146.63552622608006,686000
