Price,Close,High,Low,Open,Volume
Ticker,TMO,TMO,TMO,TMO,TMO
Date,,,,,
2021-04-12,469.57769775390625,474.7373307870759,468.1767846466659,471.6987725066128,1163100
2021-04-13,478.32843017578125,481.140101678978,471.6198769269317,472.1526219745183,1837300
2021-04-14,471.60992431640625,486.56601178173395,467.0816677127087,477.48974832446663,1744500
2021-04-15,487.7301940917969,491.3606878906726,477.48980866729335,478.4763578587547,2380000
2021-04-16,486.2897644042969,492.2879693001543,484.30679120631487,491.38033093929613,2590500
2021-04-19,481.0808410644531,488.09519105653,479.54179669478634,483.40908260272806,1677200
2021-04-20,475.871826171875,483.40907601253497,475.38842673013136,481.1400250455163,1464500
2021-04-21,473.9480895996094,479.37411002576033,470.07095859353433,477.73643479338017,1312400
2021-04-22,477.69696044921875,482.2548127523872,472.44854179813785,473.07004247913176,1087200
2021-04-23,481.5247497558594,483.7740805142889,477.6574941185332,478.88080537626644,1210800
2021-04-26,487.3947448730469,489.5750100394083,480.0449417475032,482.4817193241744,1671400
2021-04-27,483.6261291503906,489.84137679924464,483.51759308738804,488.9337684343973,978300
2021-04-28,479.26556396484375,484.97769196066787,478.5256521039838,482.97499839489063,1140500
2021-04-29,458.1435546875,473.3265298030048,455.3910742463633,471.2054552423524,3359200
2021-04-30,463.905029296875,468.7785846288715,458.7453662742057,459.2090455906375,2094800
2021-05-03,461.0932922363281,466.76594918069964,458.8834320348756,465.43410196364715,1581300
2021-05-04,459.02154541015625,459.50494481526454,453.44754924284535,457.68969815780355,1703100
2021-05-05,461.4780578613281,467.13099499624445,458.5677561045912,462.2969104675427,1586000
2021-05-06,463.8161926269531,464.2502465177399,456.0914965754353,462.7309826322656,1530900
2021-05-07,462.1490173339844,472.5472249572685,461.6063971715099,467.07188855445384,1442000
2021-05-10,457.2359313964844,463.6287806661014,456.18031659034455,461.72471794336167,1502700
2021-05-11,457.75885009765625,457.8969814434873,449.37318150750525,451.5830421840515,1568700
2021-05-12,448.6628723144531,457.7588577173445,447.95255564129764,451.5436094075544,1454500
2021-05-13,450.7740783691406,452.80636733357363,447.4592573671993,450.9121796028797,1240300
2021-05-14,452.8951110839844,455.19375728311445,448.8009382633698,451.72111522432834,1009700
2021-05-17,446.8278503417969,455.2332381874416,445.7426402649073,454.6708979511774,1092300
