Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2021-04-12,213.47439575195312,213.89851303551686,211.30562622201916,212.2888058604706,6315200
2021-04-13,213.04058837890625,213.6189179423467,212.26946758641316,213.02130631441983,4764000
2021-04-14,213.9659423828125,215.04551748050957,212.12490951263314,213.0213270417464,4972600
2021-04-15,218.11070251464844,219.41196988792632,215.77807257139108,215.80698831676108,8698100
2021-04-16,218.23602294921875,219.57583980267998,217.6094807883911,218.96857970886904,6829400
2021-04-19,217.63836669921875,219.36375111694514,216.95400784697418,217.5998172783777,6541600
2021-04-20,215.218994140625,217.24318441184832,213.8117122786862,216.66484013209708,5799100
2021-04-21,219.23849487304688,219.64333007922173,214.82384232774604,215.2479596031414,9490600
2021-04-22,219.35414123535156,222.5928224219515,218.69868334670113,219.09388481574717,7303000
2021-04-23,221.69639587402344,223.45069615334353,219.4890773604958,220.35657911336193,5345200
2021-04-26,222.02410888671875,224.53988152247516,221.23372071915907,222.43859238938904,5650000
2021-04-27,221.60963439941406,222.8145060386942,220.7228506378526,222.68919468167923,6642100
2021-04-28,225.02183532714844,227.74003293703058,222.3422018480214,222.61209193168122,10111400
2021-04-29,228.3087158203125,228.9256095060336,224.732650354024,226.73755850959392,7411400
2021-04-30,225.1278839111328,227.41231613920854,223.90373004315077,226.8243528199351,10260200
2021-05-03,224.21214294433594,227.22914608418458,223.03618710679325,225.60015735638012,8174400
2021-05-04,223.65309143066406,224.00009505022032,221.9180733328827,223.23862264758876,5884500
2021-05-05,220.93492126464844,225.40740444510453,220.40477477288937,225.40740444510453,6523200
2021-05-06,222.96875,223.21935802507596,220.4047794278192,221.3397610672392,6124100
2021-05-07,223.7398681640625,224.80016122695005,222.38078395715272,223.95192677664,4528700
2021-05-10,217.81190490722656,223.62420527281407,217.03115033690997,223.23865218136885,9627400
2021-05-11,217.33958435058594,218.2456502711771,214.02377489987234,215.6624122666814,7633300
2021-05-12,212.66468811035156,216.87691504264964,212.3562338824955,215.55638031092022,7721300
2021-05-13,215.97564697265625,217.09538076963935,213.22454347319015,213.82302315168712,6650100
2021-05-14,219.0646209716797,219.61483289741747,217.11471586219122,217.98349246547832,4777200
2021-05-17,218.5819854736328,219.27700090671846,217.50085690184275,218.33099867713005,5534200
2021-05-18,217.74217224121094,221.22688220568048,217.60701644608545,220.46430363320525,6900000
2021-05-19,216.79612731933594,217.04711405593085,214.09329180572672,215.02963140932636,9311900
2021-05-20,218.5819854736328,219.7017341968566,217.42363132824744,217.61668789759966,7478600
2021-05-21,218.90048217773438,221.3523309433879,218.68811558433896,219.00666547443208,5603900
2021-05-24,221.36204528808594,222.1246238856654,219.73069004204046,220.03957760447338,4040100
2021-05-25,221.07241821289062,222.2018144214667,220.49323387190665,221.92186992259224,4689100
2021-05-26,219.1901397705078,221.39101718712365,218.52408204956063,220.13612732309144,4295600
2021-05-27,218.98741149902344,220.4932733802812,218.5144103781577,219.85617343689606,5969600
2021-05-28,219.41213989257812,221.4682136940798,219.26733641998632,219.69206970608715,5779700
2021-06-01,218.76539611816406,222.09566983624003,218.4275360721434,221.47787997181226,5091500
2021-06-02,221.6902618408203,225.02053578756775,220.84079519542686,221.26552851812357,9081100
2021-06-03,220.19398498535156,222.39486182385846,219.8657874126005,221.05309906065233,6382400
2021-06-04,222.15357971191406,222.6941439884478,220.79250661825265,221.39100112093368,5085700
2021-06-07,223.29261779785156,226.5360031564784,222.09564363268893,224.7695217483943,5421300
2021-06-08,223.997314453125,224.76955549079517,222.1729025503815,224.09383537703835,4170600
2021-06-09,224.24827575683594,226.700139828948,224.06486686215763,224.43168465151422,4659000
2021-06-10,225.8313751220703,226.130615027413,224.07454111391183,225.0108809831102,4452500
2021-06-11,226.8063201904297,227.2696588930151,225.59969824568617,226.2560935135762,5378300
2021-06-14,225.95680236816406,227.05724074295753,223.5339113553058,226.5552820036208,5805800
2021-06-15,224.89500427246094,226.65185276787753,224.54749658816266,226.30434508357922,7093800
2021-06-16,221.63233947753906,226.05338961605386,220.0878573935942,225.51282530545498,8905400
2021-06-17,224.0938262939453,225.2425327656447,221.2558637941418,221.2558637941418,6876700
2021-06-18,222.41416931152344,224.12273504178427,221.2654630909715,222.45277472522895,8840000
2021-06-21,226.18850708007812,226.85454995248477,222.40452808879098,223.41809336398325,7298400
2021-06-22,227.7425994873047,227.89705060020898,225.1459619567867,226.16917480355724,8858400
2021-06-23,226.53599548339844,227.73296960801795,225.82168480663051,227.27927863420967,6814700
2021-06-24,228.04188537597656,229.9821280371523,227.24068668812478,228.77550616917142,4611500
2021-06-25,229.0843963623047,230.20413020252352,228.11909891880117,228.19630975252377,7825200
2021-06-28,225.9664764404297,230.0979483463503,223.81386725203075,229.74079300336697,9301700
2021-06-29,227.76194763183594,228.31217429005858,226.02440914438455,226.4298470658493,11897700
2021-06-30,225.70587158203125,228.19632620405895,225.70587158203125,226.9510988930451,7797100
2021-07-01,226.98971557617188,228.0515487849747,225.92789709664095,226.07268583908137,5329600
2021-07-02,230.34896850585938,230.4937572525818,227.63648463592892,227.64613230928632,4383700
2021-07-06,231.2852783203125,232.26022345664367,228.97821796998264,231.18874268218173,8048700
2021-07-07,231.67135620117188,232.67525893049896,230.0303537072672,231.92232820118662,4366100
2021-07-08,228.39907836914062,228.84312177060235,226.41056755974205,228.74658611354926,6388000
2021-07-09,230.1945037841797,231.1404912419593,229.18093842906583,230.47443358776243,5615900
2021-07-12,229.61532592773438,230.23311577708162,229.03615622918676,229.33539611616047,7010700
2021-07-13,233.9398651123047,234.06534377681544,229.982139299802,229.982139299802,8079200
2021-07-14,237.45355224609375,238.24508858660292,234.39356074635538,234.77967387890544,8693400
2021-07-15,239.92471313476562,240.16603752642615,236.7971437163071,236.7971437163071,10135100
2021-07-16,239.50961303710938,241.76842040069326,238.9304433697136,241.31472939346747,8674500
2021-07-19,232.0671844482422,235.96698001756613,230.60957574036806,235.5229513988558,11474600
2021-07-20,234.27767944335938,235.73528796530294,231.19837833586624,232.28916912710565,7072300
2021-07-21,235.2044219970703,238.33197686409352,233.89161664261835,234.84725186119863,11241400
2021-07-22,235.667724609375,236.8357410332795,234.7120748079986,235.32021692971725,10293600
2021-07-23,240.37841796875,241.33405318785154,238.19683591616734,238.19683591616734,6766000
2021-07-26,241.56568908691406,241.67187239656263,239.10417762089364,240.5617862105487,4879000
2021-07-27,242.2220916748047,243.90171460702393,239.60614372984136,240.5424834718562,7038300
