Price,Close,High,Low,Open,Volume
Ticker,ZBH,ZBH,ZBH,ZBH,ZBH
Date,,,,,
2021-04-12,156.69154357910156,158.06921190818514,156.09579946190027,157.02665604560812,1332511
2021-04-13,156.82188415527344,157.44555681900837,155.6210765416985,155.90963670166818,918966
2021-04-14,156.67291259765625,158.73942962726753,156.44020943472876,157.2314382264179,931944
2021-04-15,159.88438415527344,160.42428593714462,156.94286746151172,156.94286746151172,973968
2021-04-16,159.99609375,161.24345362407178,158.59981612738932,160.79664185885642,745102
2021-04-19,160.60113525390625,161.0665708179493,158.32053902782926,160.03331966606322,1140828
2021-04-20,161.79261779785156,163.06789118736344,160.31255512652632,160.6011151918561,1207984
2021-04-21,164.436279296875,165.18097036618687,161.38306346857397,162.006736021416,1121670
2021-04-22,165.11582946777344,166.80068188481198,163.32858238163533,164.37113830524927,1039476
2021-04-23,165.33924865722656,166.50280852470345,164.2873734493038,164.7807229501532,936682
2021-04-26,163.5706024169922,165.88844667716614,163.33788460337757,165.88844667716614,845630
2021-04-27,164.15701293945312,165.46021490955403,162.49077007386674,163.6729681654039,844085
2021-04-28,166.15835571289062,166.28867883753958,163.66366563485533,164.42696589366025,1006619
2021-04-29,166.26072692871094,167.8897364974141,164.8178974060914,166.85648552030423,922880
2021-04-30,164.9110565185547,166.1118641882596,163.90573359016724,165.77675166883003,1330245
2021-05-03,165.63710021972656,166.40040058164396,164.74347671555515,166.15837815884333,1331687
2021-05-04,160.97344970703125,163.8870371526115,158.35774155013587,161.82053524772883,1808268
2021-05-05,161.55062866210938,162.68627455943226,159.2048560524778,161.7181848935044,1029279
2021-05-06,161.2527313232422,161.68093378462513,158.0133502236374,161.07587049589387,783315
2021-05-07,160.5639190673828,162.75144011485577,160.39636283188412,161.06658777387892,1021142
2021-05-10,160.0612335205078,161.20619857096824,159.4003278938365,160.72215377707678,1197375
2021-05-11,155.96548461914062,159.95886206278223,155.518672849994,159.83785816171115,1450240
2021-05-12,152.4468231201172,155.43487755105093,152.33512384239322,154.5971110232728,1475269
